Wall time,Step,Value
1507558949.1726205,11,10196.0
1507558960.9944203,12,11030.0
1507558988.2204268,14,13000.0
1507559000.378406,15,13883.0
1507559011.6762025,16,14699.0
1507559027.269787,17,15827.0
1507559039.3366024,18,16689.0
1507559049.966823,19,17451.0
1507559061.6518488,20,18314.0
1507559074.0059738,21,19195.0
1507559084.9536974,22,19982.0
1507559095.5337484,23,20756.0
1507559107.8388498,24,21640.0
1507559119.9494457,25,22516.0
1507559131.9574587,26,23352.0
1507559145.521896,27,24343.0
1507559161.361793,28,25481.0
1507559173.049482,29,26328.0
1507559185.3245583,30,27202.0
1507559198.663999,31,28180.0
1507559212.3762467,32,29155.0
1507559224.0497568,33,29992.0
1507559236.1102676,34,30855.0
1507559249.575526,35,31820.0
1507559264.2124772,36,32851.0
1507559276.3036666,37,33725.0
1507559288.187806,38,34570.0
1507559312.353625,40,36309.0
1507559324.5716834,41,37175.0
1507559340.7887886,42,38309.0
1507559357.1555712,43,39502.0
1507559372.5731025,44,40548.0
1507559385.6683593,45,41471.0
1507559410.5069127,47,43246.0
1507559425.570338,48,44320.0
1507559438.763742,49,45270.0
1507559450.900112,50,46147.0
1507559466.6158578,51,47286.0
1507559494.245548,53,49249.0
1507559510.7696846,54,50412.0
1507559528.4393969,55,51686.0
1507559543.003677,56,52703.0
1507559557.439553,57,53717.0
1507559578.3018625,58,55192.0
1507559613.539791,60,57680.0
1507559630.2534375,61,58868.0
1507559661.8240633,63,61086.0
1507559682.8140235,64,62573.0
1507559701.5089073,65,63874.0
1507559719.8878896,66,65152.0
1507559740.3057394,67,66588.0
1507559755.6716852,68,67699.0
1507559790.4311945,70,70193.0
1507559809.8483472,71,71557.0
1507559828.7782772,72,72911.0
1507559841.6555836,73,73837.0
1507559859.2217581,74,75103.0
1507559873.72162,75,76131.0
1507559892.2361264,76,77437.0
1507559914.209558,77,78980.0
1507559933.6584072,78,80376.0
1507559949.9136267,79,81538.0
1507559969.6248066,80,82911.0
1507560006.7473917,82,85537.0
1507560024.8179796,83,86804.0
1507560043.5026572,84,88134.0
1507560064.0495255,85,89607.0
1507560083.2457964,86,90951.0
1507560097.1729453,87,91907.0
1507560113.1535707,88,93025.0
1507560134.3430073,89,94473.0
1507560150.2164736,90,95590.0
1507560195.4882169,92,98811.0
1507560215.3249867,93,100132.0
1507560255.6607049,95,102967.0
1507560281.7045317,96,104738.0
1507560299.13164,97,105943.0
1507560318.5132165,98,107330.0
1507560336.8403249,99,108605.0
1507560357.8474467,100,110091.0
1507560374.9001946,101,111299.0
1507560393.2702167,102,112604.0
1507560415.334878,103,114156.0
1507560437.300352,104,115714.0
1507560456.9500532,105,117066.0
1507560475.7955668,106,118383.0
1507560495.481991,107,119744.0
1507560513.5589726,108,120996.0
1507560562.9862597,110,124394.0
1507560578.3271203,111,125467.0
1507560597.9942715,112,126820.0
1507560620.495557,113,128382.0
1507560647.1032264,114,130254.0
1507560666.8113098,115,131618.0
1507560688.368717,116,133101.0
1507560715.4192746,117,135004.0
1507560735.9698033,118,136434.0
1507560761.7249658,119,138234.0
1507560779.7563763,120,139498.0
1507560805.5849276,121,141288.0
1507560830.869981,122,143060.0
1507560856.082394,123,144817.0
1507560882.1703308,124,146624.0
1507560904.3368318,125,148154.0
1507560925.4232657,126,149608.0
1507560951.2575645,127,151395.0
1507560973.545193,128,152929.0
1507560997.0100088,129,154560.0
1507561014.372455,130,155767.0
1507561039.400116,131,157454.0
1507561060.6353617,132,158902.0
1507561093.0098245,133,161153.0
1507561119.2918434,134,162938.0
1507561153.2367008,135,165280.0
1507561182.8851993,136,167296.0
1507561213.7169068,137,169415.0
1507561239.4499846,138,171187.0
1507561309.7823312,140,176046.0
1507561338.7941139,141,178025.0
1507561364.4714656,142,179803.0
1507561415.3424942,144,183320.0
1507561456.946902,145,186195.0
1507561524.4267526,147,190755.0
1507561551.663038,148,192617.0
1507561624.7947328,150,197566.0
1507561675.7766933,151,201011.0
1507561708.5955129,152,203244.0
1507561749.6582441,153,206055.0
1507561792.147555,154,208946.0
1507561831.9529123,155,211682.0
1507561875.027126,156,214635.0
1507561895.4536622,157,216034.0
1507561974.7168581,159,221467.0
1507562024.0044868,160,224848.0
1507562073.5941317,161,228241.0
1507562105.379642,162,230423.0
1507562168.914062,164,234774.0
1507562204.2789848,165,237184.0
1507562244.6188736,166,239934.0
1507562283.9816115,167,242637.0
1507562322.1421683,168,245230.0
1507562361.2233675,169,247890.0
1507562390.0307648,170,249871.0
1507562445.161667,172,253642.0
1507562476.341643,173,255748.0
1507562539.7196078,175,259959.0
1507562568.3306954,176,261875.0
1507562596.374054,177,263783.0
1507562626.299623,178,265796.0
1507562649.9593587,179,267425.0
1507562675.5019615,180,269180.0
1507562731.8077047,182,272963.0
1507562767.6222265,183,275411.0
1507562792.822637,184,277103.0
1507562852.7851996,186,281185.0
1507562882.4375374,187,283227.0
1507562917.0934837,188,285580.0
1507562946.988064,189,287619.0
