Wall time,Step,Value
1507390185.2347665,11,-20.0
1507390195.298859,12,-21.0
1507390204.730767,13,-21.0
1507390218.5204015,14,-19.0
1507390227.8999076,15,-21.0
1507390242.493075,16,-20.0
1507390253.0247047,17,-20.0
1507390266.787826,18,-18.0
1507390278.625308,19,-20.0
1507390290.4078605,20,-18.0
1507390303.0175228,21,-20.0
1507390315.6722386,22,-20.0
1507390325.3218641,23,-21.0
1507390336.9866104,24,-20.0
1507390346.0826273,25,-21.0
1507390357.6549132,26,-21.0
1507390367.4185812,27,-21.0
1507390378.9228365,28,-21.0
1507390390.5738096,29,-21.0
1507390401.7445178,30,-21.0
1507390415.8830593,31,-20.0
1507390426.70032,32,-21.0
1507390438.759489,33,-20.0
1507390448.7916377,34,-21.0
1507390461.6871321,35,-18.0
1507390470.7552269,36,-21.0
1507390482.3434615,37,-21.0
1507390492.2266786,38,-20.0
1507390515.0195456,40,-19.0
1507390530.1457262,41,-20.0
1507390541.114706,42,-20.0
1507390551.5450528,43,-20.0
1507390564.4479861,44,-19.0
1507390579.2583404,45,-19.0
1507390593.3490906,46,-19.0
1507390606.5693822,47,-21.0
1507390621.3930311,48,-20.0
1507390633.643656,49,-21.0
1507390649.674862,50,-18.0
1507390659.9025428,51,-21.0
1507390682.7031941,53,-20.0
1507390694.8162498,54,-18.0
1507390705.7335782,55,-19.0
1507390718.5367107,56,-20.0
1507390732.616076,57,-18.0
1507390750.3648672,58,-15.0
1507390764.572201,59,-19.0
1507390773.5706089,60,-21.0
1507390791.203338,61,-18.0
1507390804.423135,62,-19.0
1507390815.9407394,63,-19.0
1507390830.8080997,64,-19.0
1507390844.895471,65,-18.0
1507390861.0996554,66,-19.0
1507390873.5986507,67,-20.0
1507390892.6964564,68,-18.0
1507390908.0357673,69,-18.0
1507390924.2020867,70,-20.0
1507390940.2187536,71,-18.0
1507390951.4909976,72,-21.0
1507390967.8694518,73,-18.0
1507390984.1467786,74,-19.0
1507390999.6012678,75,-19.0
1507391014.364036,76,-19.0
1507391031.793642,77,-20.0
1507391047.6194906,78,-19.0
1507391061.7197604,79,-20.0
1507391075.34056,80,-20.0
1507391087.0760882,81,-20.0
1507391100.8138142,82,-20.0
1507391113.7695723,83,-20.0
1507391133.3524234,84,-16.0
1507391156.469592,85,-17.0
1507391173.0343027,86,-19.0
1507391188.443332,87,-20.0
1507391204.8881178,88,-21.0
1507391225.4079847,89,-17.0
1507391239.5783057,90,-21.0
1507391253.4699924,91,-21.0
1507391274.6022267,92,-16.0
