Wall time,Step,Value
1507522438.6087587,11,-21.0
1507522454.7123508,12,-17.0
1507522479.9027276,14,-21.0
1507522490.132331,15,-21.0
1507522503.2308886,16,-20.0
1507522515.896818,17,-21.0
1507522527.0747006,18,-21.0
1507522538.0079098,19,-21.0
1507522549.307381,20,-21.0
1507522559.5800707,21,-21.0
1507522573.867797,22,-18.0
1507522587.5233724,23,-19.0
1507522599.7647996,24,-20.0
1507522612.2683344,25,-20.0
1507522625.6815598,26,-19.0
1507522638.9637065,27,-20.0
1507522652.5184524,28,-21.0
1507522663.369534,29,-21.0
1507522674.7570634,30,-21.0
1507522686.2903109,31,-21.0
1507522697.1992455,32,-21.0
1507522712.7135568,33,-20.0
1507522727.8920581,34,-21.0
1507522739.4729102,35,-21.0
1507522753.303052,36,-20.0
1507522766.016225,37,-20.0
1507522782.7133193,38,-18.0
1507522817.182868,40,-17.0
1507522829.9778144,41,-21.0
1507522845.626301,42,-17.0
1507522860.4234624,43,-19.0
1507522872.4348907,44,-21.0
1507522885.2299764,45,-20.0
1507522914.8388186,47,-20.0
1507522927.2249177,48,-21.0
1507522939.627092,49,-21.0
1507522953.612515,50,-21.0
1507522967.5974522,51,-21.0
1507522992.6987305,53,-21.0
1507523009.7598257,54,-19.0
1507523022.0417304,55,-21.0
1507523036.3174348,56,-19.0
1507523050.724324,57,-20.0
1507523066.835554,58,-20.0
1507523101.1071858,60,-19.0
1507523117.5467987,61,-18.0
1507523152.4091995,63,-20.0
1507523166.9534101,64,-20.0
1507523179.6045735,65,-21.0
1507523196.929638,66,-18.0
1507523214.0536015,67,-20.0
1507523230.357526,68,-20.0
1507523261.3888192,70,-20.0
1507523279.341023,71,-18.0
1507523296.7889364,72,-20.0
1507523311.1799936,73,-21.0
1507523328.2420857,74,-19.0
1507523346.174306,75,-19.0
1507523369.6426919,76,-18.0
1507523389.1383824,77,-19.0
1507523406.1506774,78,-21.0
1507523420.658529,79,-20.0
1507523435.579041,80,-20.0
1507523473.9439127,82,-20.0
1507523491.161313,83,-18.0
1507523510.7826989,84,-19.0
1507523535.4554787,85,-18.0
1507523553.4968643,86,-20.0
1507523574.7691865,87,-19.0
1507523595.5468476,88,-17.0
1507523615.3838792,89,-19.0
1507523636.1691597,90,-18.0
1507523675.8797312,92,-17.0
1507523701.2563117,93,-15.0
1507523737.5739083,95,-17.0
1507523755.8930695,96,-20.0
1507523789.0356069,97,-12.0
1507523812.8566773,98,-18.0
1507523831.5108478,99,-18.0
1507523851.7386267,100,-20.0
1507523866.7357483,101,-20.0
1507523883.5197055,102,-20.0
1507523902.699086,103,-19.0
1507523921.9629805,104,-17.0
1507523943.935529,105,-18.0
1507523968.4660757,106,-16.0
1507523990.9407158,107,-17.0
1507524011.4010086,108,-19.0
1507524059.6826704,110,-17.0
1507524085.1752572,111,-15.0
1507524106.083642,112,-17.0
1507524125.706804,113,-17.0
1507524144.847743,114,-17.0
1507524168.1652439,115,-15.0
1507524190.9564424,116,-17.0
1507524213.8195636,117,-18.0
1507524236.0937603,118,-16.0
1507524261.9896939,119,-13.0
1507524281.7479894,120,-18.0
1507524302.8590374,121,-16.0
1507524324.6578944,122,-18.0
1507524351.152428,123,-14.0
1507524382.3701613,124,-14.0
1507524414.2819371,125,-14.0
1507524447.1071117,126,-11.0
1507524473.4334385,127,-16.0
1507524504.8115053,128,-15.0
1507524534.4704986,129,-15.0
1507524560.14447,130,-17.0
1507524585.1854331,131,-17.0
1507524613.8117142,132,-15.0
1507524643.9102006,133,-15.0
1507524666.0169687,134,-18.0
1507524691.9996986,135,-14.0
1507524716.426928,136,-17.0
1507524753.3452742,137,-10.0
1507524782.8725352,138,-15.0
1507524855.1436348,140,-8.0
1507524892.3947499,141,-14.0
1507524919.8574715,142,-15.0
1507525009.350933,144,-5.0
1507525050.7658522,145,-2.0
1507525133.092097,147,-3.0
1507525174.1986492,148,-7.0
1507525242.7735806,150,15.0
1507525278.3040357,151,10.0
1507525318.0474858,152,9.0
