Wall time,Step,Value
1507217447.5304427,17,0.35812655091285706
1507217462.371196,18,0.40393441915512085
1507217524.5805018,22,0.5178606510162354
1507217540.9331198,23,0.5148922801017761
1507217587.303233,26,0.49150994420051575
1507217602.544831,27,0.5180167555809021
1507217654.2927134,30,0.6353015899658203
1507217672.542478,31,0.6895294189453125
1507217687.9902596,32,0.6084473729133606
1507217738.000627,36,0.5753272175788879
1507217864.1416905,45,0.6514607071876526
1507217907.5743916,48,0.602580189704895
1507217973.8005226,52,0.6041575074195862
1507218005.313186,54,0.6524145603179932
1507218036.1107423,56,0.5778554081916809
1507218051.08136,57,0.6002061367034912
1507218084.1571143,59,0.568934440612793
1507218116.3986049,61,0.6387168765068054
1507218181.0406656,65,0.6530393362045288
1507218196.8774948,66,0.6384292244911194
1507218214.880538,67,0.6321947574615479
1507218230.5054605,68,0.5629779100418091
1507218244.1281178,69,0.5880594849586487
1507218338.8015141,75,0.5322666764259338
1507218370.1566517,77,0.5018605589866638
1507218385.5450137,78,0.4545990824699402
1507218404.761824,79,0.5401906967163086
1507218422.1937652,80,0.5501214265823364
1507218468.466897,83,0.48653435707092285
1507218482.7024868,84,0.45020630955696106
1507218496.328084,85,0.42811429500579834
1507218511.8947835,86,0.43804362416267395
1507218599.750822,91,0.45756369829177856
1507218676.067772,96,0.4390285015106201
1507218724.2942865,99,0.4278557598590851
1507218740.3742678,100,0.4623872935771942
1507218834.0669205,106,0.48381561040878296
1507218965.9197092,114,0.4098260998725891
1507219010.9015276,117,0.37363073229789734
1507219023.6815076,118,0.34550514817237854
1507219117.7631726,125,0.3032538890838623
1507219166.498576,128,0.3186618387699127
1507219194.301268,130,0.38104259967803955
1507219297.428541,137,0.24721917510032654
1507219313.6683178,138,0.21589234471321106
1507219360.7439406,141,0.16497698426246643
1507219375.8240077,142,0.12179210036993027
1507219484.4788077,149,0.17747801542282104
1507219516.8337572,151,0.14387060701847076
1507219550.2505486,153,0.1673806607723236
1507219568.7482712,154,0.15903639793395996
1507219585.2725286,155,0.136410653591156
1507219695.2887,162,0.04735780507326126
1507219771.4873304,167,-0.06946016103029251
1507219799.2849987,169,-0.07519056648015976
1507219816.2706685,170,-0.060126565396785736
1507219829.1950645,171,-0.1510084867477417
1507219874.9865332,174,-0.1515417993068695
1507219920.4051,177,-0.23774617910385132
1507219953.6274183,179,-0.24942518770694733
1507219968.2827399,180,-0.2647654116153717
1507220016.000135,183,-0.2709428668022156
1507220096.420172,189,-0.38385361433029175
1507220110.8431382,190,-0.4631892740726471
1507220141.8823788,192,-0.45635926723480225
1507220187.9923425,195,-0.5274171233177185
1507220217.0279121,197,-0.5715368390083313
1507220233.3970463,198,-0.5968424081802368
1507220262.8671224,200,-0.5681162476539612
1507220298.8226101,202,-0.4970981776714325
1507220315.9655375,203,-0.5354359149932861
1507220422.5379407,210,-0.6736863851547241
1507220542.9186597,218,-0.7980080246925354
1507220557.6765444,219,-0.8128419518470764
1507220571.4833536,220,-0.8112348914146423
1507220626.6864338,224,-0.8164600133895874
1507220763.2840338,234,-0.9331291913986206
1507220776.103734,235,-0.9589488506317139
1507220804.9720485,237,-0.9673035740852356
1507220834.6424398,239,-1.0370596647262573
1507220861.598285,241,-0.9841400384902954
1507220905.5098002,244,-1.0111554861068726
1507220921.4232585,245,-1.0211749076843262
1507220935.641145,246,-1.0391963720321655
