Wall time,Step,Value
1507217447.5304427,17,846.0
1507217462.371196,18,912.0
1507217524.5805018,22,857.0
1507217540.9331198,23,988.0
1507217587.303233,26,806.0
1507217602.544831,27,852.0
1507217654.2927134,30,931.0
1507217672.542478,31,954.0
1507217687.9902596,32,917.0
1507217738.000627,36,848.0
1507217864.1416905,45,973.0
1507217907.5743916,48,882.0
1507217973.8005226,52,955.0
1507218005.313186,54,1077.0
1507218036.1107423,56,839.0
1507218051.08136,57,971.0
1507218084.1571143,59,817.0
1507218116.3986049,61,1039.0
1507218181.0406656,65,1060.0
1507218196.8774948,66,895.0
1507218214.880538,67,999.0
1507218230.5054605,68,846.0
1507218244.1281178,69,758.0
1507218338.8015141,75,997.0
1507218370.1566517,77,945.0
1507218385.5450137,78,851.0
1507218404.761824,79,1117.0
1507218422.1937652,80,955.0
1507218468.466897,83,837.0
1507218482.7024868,84,818.0
1507218496.328084,85,818.0
1507218511.8947835,86,848.0
1507218599.750822,91,936.0
1507218676.067772,96,760.0
1507218724.2942865,99,893.0
1507218740.3742678,100,926.0
1507218834.0669205,106,896.0
1507218965.9197092,114,982.0
1507219010.9015276,117,879.0
1507219023.6815076,118,863.0
1507219117.7631726,125,820.0
1507219166.498576,128,1055.0
1507219194.301268,130,761.0
1507219297.428541,137,816.0
1507219313.6683178,138,877.0
1507219360.7439406,141,761.0
1507219375.8240077,142,877.0
1507219484.4788077,149,1004.0
1507219516.8337572,151,834.0
1507219550.2505486,153,958.0
1507219568.7482712,154,1053.0
1507219585.2725286,155,963.0
1507219695.2887,162,882.0
1507219771.4873304,167,761.0
1507219799.2849987,169,818.0
1507219816.2706685,170,996.0
1507219829.1950645,171,760.0
1507219874.9865332,174,1056.0
1507219920.4051,177,789.0
1507219953.6274183,179,755.0
1507219968.2827399,180,760.0
1507220016.000135,183,933.0
1507220096.420172,189,881.0
1507220110.8431382,190,821.0
1507220141.8823788,192,850.0
1507220187.9923425,195,939.0
1507220217.0279121,197,835.0
1507220233.3970463,198,912.0
1507220262.8671224,200,855.0
1507220298.8226101,202,1058.0
1507220315.9655375,203,943.0
1507220422.5379407,210,845.0
1507220542.9186597,218,848.0
1507220557.6765444,219,758.0
1507220571.4833536,220,756.0
1507220626.6864338,224,877.0
1507220763.2840338,234,820.0
1507220776.103734,235,757.0
1507220804.9720485,237,762.0
1507220834.6424398,239,790.0
1507220861.598285,241,755.0
1507220905.5098002,244,756.0
1507220921.4232585,245,906.0
