Wall time,Step,Value
1507217447.5304427,17,15500.0
1507217462.371196,18,16412.0
1507217524.5805018,22,19950.0
1507217540.9331198,23,20938.0
1507217587.303233,26,23533.0
1507217602.544831,27,24385.0
1507217654.2927134,30,27288.0
1507217672.542478,31,28242.0
1507217687.9902596,32,29159.0
1507217738.000627,36,32505.0
1507217864.1416905,45,40740.0
1507217907.5743916,48,43208.0
1507217973.8005226,52,47059.0
1507218005.313186,54,48966.0
1507218036.1107423,56,50788.0
1507218051.08136,57,51759.0
1507218084.1571143,59,53550.0
1507218116.3986049,61,55350.0
1507218181.0406656,65,59026.0
1507218196.8774948,66,59921.0
1507218214.880538,67,60920.0
1507218230.5054605,68,61766.0
1507218244.1281178,69,62524.0
1507218338.8015141,75,67785.0
1507218370.1566517,77,69515.0
1507218385.5450137,78,70366.0
1507218404.761824,79,71483.0
1507218422.1937652,80,72438.0
1507218468.466897,83,75091.0
1507218482.7024868,84,75909.0
1507218496.328084,85,76727.0
1507218511.8947835,86,77575.0
1507218599.750822,91,82497.0
1507218676.067772,96,86737.0
1507218724.2942865,99,89638.0
1507218740.3742678,100,90564.0
1507218834.0669205,106,95890.0
1507218965.9197092,114,103116.0
1507219010.9015276,117,105723.0
1507219023.6815076,118,106586.0
1507219117.7631726,125,112565.0
1507219166.498576,128,115271.0
1507219194.301268,130,116855.0
1507219297.428541,137,122777.0
1507219313.6683178,138,123654.0
1507219360.7439406,141,126288.0
1507219375.8240077,142,127165.0
1507219484.4788077,149,133381.0
1507219516.8337572,151,135123.0
1507219550.2505486,153,136982.0
1507219568.7482712,154,138035.0
1507219585.2725286,155,138998.0
1507219695.2887,162,144992.0
1507219771.4873304,167,149271.0
1507219799.2849987,169,150847.0
1507219816.2706685,170,151843.0
1507219829.1950645,171,152603.0
1507219874.9865332,174,155210.0
1507219920.4051,177,157685.0
1507219953.6274183,179,159441.0
1507219968.2827399,180,160201.0
1507220016.000135,183,162977.0
1507220096.420172,189,168092.0
1507220110.8431382,190,168913.0
1507220141.8823788,192,170700.0
1507220187.9923425,195,173346.0
1507220217.0279121,197,174999.0
1507220233.3970463,198,175911.0
1507220262.8671224,200,177683.0
1507220298.8226101,202,179801.0
1507220315.9655375,203,180744.0
1507220422.5379407,210,186737.0
1507220542.9186597,218,193606.0
1507220557.6765444,219,194364.0
1507220571.4833536,220,195120.0
1507220626.6864338,224,198393.0
1507220763.2840338,234,206222.0
1507220776.103734,235,206979.0
1507220804.9720485,237,208501.0
1507220834.6424398,239,210108.0
1507220861.598285,241,211708.0
1507220905.5098002,244,213978.0
1507220921.4232585,245,214884.0
1507220935.641145,246,215641.0
1507220976.2138517,249,217915.0
1507221112.9715228,259,225542.0
1507221139.8480892,261,227058.0
1507221219.6263018,267,231608.0
1507221263.2661827,270,234100.0
1507221278.7410808,271,235016.0
1507221292.329163,272,235776.0
1507221307.3681307,273,236537.0
1507221335.1281092,275,238139.0
1507221390.641709,279,241220.0
1507221420.9549878,281,242889.0
1507221448.2765324,283,244425.0
1507221473.182731,285,246029.0
1507221543.8010297,290,250058.0
1507221630.8129506,296,254816.0
1507221741.7850947,303,260947.0
1507221755.024429,304,261709.0
1507221826.1743588,309,265671.0
1507221840.677529,310,266427.0
1507221883.0248485,313,268793.0
1507221895.6999183,314,269552.0
1507221907.6027765,315,270312.0
1507221966.7955031,319,273649.0
1507221981.3377342,320,274466.0
1507222009.140797,322,276048.0
1507222050.3353934,325,278386.0
1507222106.8457763,329,281479.0
1507222121.2969346,330,282241.0
1507222135.681446,331,283057.0
1507222150.0013375,332,283875.0
1507222179.60859,334,285498.0
1507222221.329473,337,287774.0
1507222235.794732,338,288594.0
1507222249.210792,339,289356.0
1507222291.961124,342,291766.0
1507222332.8032975,345,294045.0
1507222415.6534195,351,298825.0
1507222445.2324998,353,300403.0
1507222487.9446032,356,302968.0
1507222502.550335,357,303725.0
1507222532.1099312,359,305438.0
1507222546.6850839,360,306213.0
1507222612.3291798,365,310013.0
1507222625.1346953,366,310769.0
1507222680.2197015,370,313914.0
1507222710.9742393,372,315577.0
1507222758.9336245,375,318222.0
1507222819.5289457,379,321499.0
1507222875.5678136,383,324593.0
1507222904.1126666,385,326110.0
1507222959.428671,389,329195.0
1507222972.949262,390,329969.0
1507222986.2547395,391,330746.0
1507223016.3037004,393,332402.0
1507223029.9419627,394,333161.0
1507223077.2853727,398,336276.0
1507223088.7468398,399,337035.0
1507223136.3149676,403,340170.0
1507223148.2541285,404,340956.0
1507223159.7077034,405,341715.0
1507223279.934719,415,349553.0
1507223340.0112846,420,353520.0
1507223422.75243,427,358970.0
1507223434.2689817,428,359727.0
1507223492.6426857,433,363561.0
1507223504.2251146,434,364320.0
1507223528.2143457,436,365896.0
1507223553.3249362,438,367559.0
1507223601.144764,442,370725.0
1507223709.215893,451,377876.0
1507223733.3255613,453,379473.0
1507223745.8900068,454,380304.0
1507223780.40535,457,382581.0
1507223853.7857687,463,387436.0
1507223954.3922276,471,393723.0
1507223968.1986012,472,394482.0
1507223981.8626156,473,395274.0
1507224008.6913571,475,396816.0
1507224023.7204576,476,397634.0
1507224064.827775,479,399923.0
1507224079.7033856,480,400707.0
1507224155.2264106,485,404849.0
1507224170.7243588,486,405705.0
1507224328.1509051,497,414472.0
1507224367.3861406,500,416810.0
1507224380.9406579,501,417586.0
1507224410.0926595,503,419194.0
1507224439.701183,505,420850.0
1507224481.3570166,508,423205.0
1507224639.5643308,519,431979.0
1507224694.3311512,523,435067.0
1507224708.4442463,524,435826.0
1507224736.7530303,526,437465.0
1507224776.8080342,529,439800.0
1507224803.930857,531,441383.0
1507224874.4476922,536,445377.0
