Wall time,Step,Value
1507354419.1065145,12,911.0
1507354432.6334796,13,785.0
1507354465.0585601,15,1123.0
1507354482.381178,16,999.0
1507354499.7798972,17,966.0
1507354514.7793121,18,906.0
1507354529.4696403,19,878.0
1507354546.8211908,20,984.0
1507354559.754945,21,790.0
1507354572.5303404,22,848.0
1507354585.5304024,23,861.0
1507354600.6571922,24,877.0
1507354614.8421595,25,924.0
1507354626.9017062,26,756.0
1507354640.127277,27,819.0
1507354653.919576,28,898.0
1507354671.2920766,29,959.0
1507354688.777189,30,1015.0
1507354704.6226666,31,919.0
1507354724.354036,32,1082.0
1507354739.2755513,33,841.0
1507354754.6763566,34,877.0
1507354770.9201875,35,846.0
1507354788.8104675,36,968.0
1507354813.3374927,37,1283.0
1507354829.0875075,38,875.0
1507354846.7380304,39,1076.0
1507354882.9297621,41,962.0
1507354898.6395092,42,842.0
1507354915.9789388,43,972.0
1507354934.264148,44,1019.0
1507354951.7240417,45,1026.0
1507354968.1244013,46,941.0
1507354985.1126823,47,910.0
1507355001.9127455,48,962.0
1507355020.34783,49,1060.0
1507355035.7595112,50,897.0
1507355050.1790752,51,836.0
1507355067.7972558,52,1037.0
1507355102.2338958,54,1021.0
1507355116.9091752,55,815.0
1507355132.857305,56,885.0
1507355150.2613454,57,1021.0
1507355165.7465372,58,896.0
1507355181.780673,59,939.0
1507355201.1311784,60,1058.0
1507355225.320408,61,1267.0
1507355242.890624,62,978.0
1507355263.340735,63,1142.0
1507355283.2808447,64,1077.0
1507355301.7716906,65,1059.0
1507355322.3728056,66,1196.0
1507355342.7789688,67,1170.0
1507355367.2152214,68,1316.0
1507355389.457993,69,1281.0
1507355406.1918669,70,963.0
1507355422.4367464,71,937.0
1507355443.2816668,72,1081.0
1507355465.8461092,73,1314.0
1507355484.553082,74,1039.0
1507355500.3011181,75,903.0
1507355516.2789254,76,952.0
1507355533.531327,77,968.0
1507355552.363318,78,1044.0
1507355571.8745549,79,1141.0
1507355591.113302,80,1102.0
1507355608.718131,81,1033.0
1507355628.8889768,82,1163.0
1507355650.1824195,83,1193.0
1507355665.486536,84,915.0
1507355689.5439174,85,1348.0
1507355709.7082398,86,1130.0
1507355730.5647743,87,1182.0
1507355754.5267396,88,1377.0
1507355769.652837,89,903.0
1507355786.6010733,90,949.0
1507355807.5448797,91,1162.0
1507355825.0409884,92,997.0
1507355839.96837,93,832.0
1507355858.1163852,94,1006.0
1507355880.2075925,95,1359.0
1507355898.8700047,96,1239.0
1507355918.012037,97,1145.0
1507355940.7542517,98,1365.0
1507355964.3878956,99,1370.0
1507355991.7519865,100,1546.0
1507356014.3576157,101,1300.0
1507356032.5283,102,1039.0
1507356051.2574813,103,1070.0
1507356072.723794,104,1245.0
1507356092.2601764,105,1111.0
1507356113.5492468,106,1223.0
1507356133.2934833,107,1136.0
1507356162.170197,108,1567.0
1507356181.0052078,109,1072.0
1507356204.332172,110,1307.0
1507356223.8411272,111,1106.0
1507356249.5259538,112,1478.0
1507356270.7176533,113,1229.0
1507356292.0171034,114,1290.0
1507356315.573811,115,1343.0
1507356338.5237012,116,1306.0
1507356358.3055527,117,1131.0
1507356384.3306215,118,1459.0
1507356408.7757218,119,1424.0
1507356431.4480748,120,1290.0
1507356453.128492,121,1266.0
1507356480.6663108,122,1547.0
1507356506.4576926,123,1487.0
1507356526.5362213,124,1130.0
1507356551.5562584,125,1421.0
1507356574.754865,126,1368.0
1507356596.623556,127,1225.0
1507356619.911147,128,1350.0
1507356640.5016277,129,1173.0
1507356667.9190133,130,1588.0
1507356694.6285346,131,1511.0
1507356716.094888,132,1187.0
1507356736.8780055,133,1149.0
1507356758.5654404,134,1253.0
1507356779.4963803,135,1186.0
1507356797.418003,136,1047.0
1507356824.8697188,137,1562.0
1507356852.0128443,138,1569.0
1507356874.9057553,139,1335.0
1507356919.8397799,141,1272.0
1507356945.769668,142,1486.0
1507356969.34732,143,1366.0
1507357008.268337,144,2195.0
1507357037.758241,145,1697.0
1507357060.8049057,146,1312.0
1507357095.4203763,147,2013.0
1507357122.6254978,148,1562.0
1507357144.4018972,149,1219.0
1507357175.579276,150,1768.0
1507357203.7424915,151,1590.0
1507357235.1997614,152,1781.0
1507357268.2237265,153,1863.0
1507357301.6414468,154,1803.0
1507357335.0489666,155,1885.0
1507357380.2957177,156,2448.0
1507357414.9776676,157,1882.0
1507357436.2471685,158,1217.0
1507357469.0689063,159,1858.0
1507357489.8006604,160,1194.0
1507357515.7365897,161,1560.0
1507357541.829135,162,1529.0
1507357566.7183058,163,1477.0
1507357627.2744267,165,1867.0
1507357654.8340597,166,1548.0
1507357681.159139,167,1470.0
1507357710.5351381,168,1648.0
1507357742.7595623,169,1682.0
1507357783.0970635,170,2272.0
1507357815.9748518,171,1815.0
1507357847.1010833,172,1699.0
1507357886.6589594,173,2202.0
1507357934.7653224,174,2743.0
1507357969.3515532,175,1908.0
1507358012.1509254,176,2393.0
1507358046.994262,177,1912.0
1507358096.6531677,178,2853.0
1507358123.7322302,179,1513.0
1507358158.6659513,180,1948.0
1507358202.8387969,181,2507.0
1507358241.145151,182,2182.0
1507358279.0268607,183,2106.0
1507358312.949422,184,1875.0
1507358360.7965157,185,2664.0
1507358393.3579342,186,1862.0
1507358421.9973812,187,1621.0
1507358443.664659,188,1248.0
1507358488.191863,189,2527.0
1507358529.612433,190,2252.0
1507358573.4913754,191,2460.0
1507358608.8324773,192,1987.0
1507358649.3577995,193,2204.0
1507358696.729468,194,2558.0
1507358733.1422853,195,2083.0
1507358783.2361133,196,2866.0
1507358812.5121315,197,1688.0
1507358846.9781938,198,1905.0
1507358885.9729125,199,2188.0
1507358941.8847504,200,3109.0
1507358977.9921541,201,2133.0
1507359014.8563519,202,2114.0
1507359062.0914922,203,2595.0
1507359097.6574895,204,2069.0
1507359141.0252905,205,2533.0
1507359167.928182,206,1517.0
1507359274.5222776,209,1809.0
1507359304.9994075,210,1699.0
1507359344.1402228,211,2134.0
1507359377.392827,212,1909.0
1507359404.2242727,213,1451.0
1507359444.4092786,214,2262.0
1507359494.23722,215,2834.0
1507359580.016677,217,2206.0
1507359620.2217102,218,2243.0
1507359648.0994825,219,1582.0
1507359698.174441,220,2771.0
1507359733.780936,221,2003.0
1507359836.263718,223,2355.0
1507359882.5609782,224,2518.0
1507359930.1618426,225,2707.0
