Wall time,Step,Value
1507354419.1065145,12,10707.0
1507354432.6334796,13,11492.0
1507354465.0585601,15,13540.0
1507354482.381178,16,14539.0
1507354499.7798972,17,15505.0
1507354514.7793121,18,16411.0
1507354529.4696403,19,17289.0
1507354546.8211908,20,18273.0
1507354559.754945,21,19063.0
1507354572.5303404,22,19911.0
1507354585.5304024,23,20772.0
1507354600.6571922,24,21649.0
1507354614.8421595,25,22573.0
1507354626.9017062,26,23329.0
1507354640.127277,27,24148.0
1507354653.919576,28,25046.0
1507354671.2920766,29,26005.0
1507354688.777189,30,27020.0
1507354704.6226666,31,27939.0
1507354724.354036,32,29021.0
1507354739.2755513,33,29862.0
1507354754.6763566,34,30739.0
1507354770.9201875,35,31585.0
1507354788.8104675,36,32553.0
1507354813.3374927,37,33836.0
1507354829.0875075,38,34711.0
1507354846.7380304,39,35787.0
1507354882.9297621,41,37782.0
1507354898.6395092,42,38624.0
1507354915.9789388,43,39596.0
1507354934.264148,44,40615.0
1507354951.7240417,45,41641.0
1507354968.1244013,46,42582.0
1507354985.1126823,47,43492.0
1507355001.9127455,48,44454.0
1507355020.34783,49,45514.0
1507355035.7595112,50,46411.0
1507355050.1790752,51,47247.0
1507355067.7972558,52,48284.0
1507355102.2338958,54,50256.0
1507355116.9091752,55,51071.0
1507355132.857305,56,51956.0
1507355150.2613454,57,52977.0
1507355165.7465372,58,53873.0
1507355181.780673,59,54812.0
1507355201.1311784,60,55870.0
1507355225.320408,61,57137.0
1507355242.890624,62,58115.0
1507355263.340735,63,59257.0
1507355283.2808447,64,60334.0
1507355301.7716906,65,61393.0
1507355322.3728056,66,62589.0
1507355342.7789688,67,63759.0
1507355367.2152214,68,65075.0
1507355389.457993,69,66356.0
1507355406.1918669,70,67319.0
1507355422.4367464,71,68256.0
1507355443.2816668,72,69337.0
1507355465.8461092,73,70651.0
1507355484.553082,74,71690.0
1507355500.3011181,75,72593.0
1507355516.2789254,76,73545.0
1507355533.531327,77,74513.0
1507355552.363318,78,75557.0
1507355571.8745549,79,76698.0
1507355591.113302,80,77800.0
1507355608.718131,81,78833.0
1507355628.8889768,82,79996.0
1507355650.1824195,83,81189.0
1507355665.486536,84,82104.0
1507355689.5439174,85,83452.0
1507355709.7082398,86,84582.0
1507355730.5647743,87,85764.0
1507355754.5267396,88,87141.0
1507355769.652837,89,88044.0
1507355786.6010733,90,88993.0
1507355807.5448797,91,90155.0
1507355825.0409884,92,91152.0
1507355839.96837,93,91984.0
1507355858.1163852,94,92990.0
1507355880.2075925,95,94349.0
1507355898.8700047,96,95588.0
1507355918.012037,97,96733.0
1507355940.7542517,98,98098.0
1507355964.3878956,99,99468.0
1507355991.7519865,100,101014.0
1507356014.3576157,101,102314.0
1507356032.5283,102,103353.0
1507356051.2574813,103,104423.0
1507356072.723794,104,105668.0
1507356092.2601764,105,106779.0
1507356113.5492468,106,108002.0
1507356133.2934833,107,109138.0
1507356162.170197,108,110705.0
1507356181.0052078,109,111777.0
1507356204.332172,110,113084.0
1507356223.8411272,111,114190.0
1507356249.5259538,112,115668.0
1507356270.7176533,113,116897.0
1507356292.0171034,114,118187.0
1507356315.573811,115,119530.0
1507356338.5237012,116,120836.0
1507356358.3055527,117,121967.0
1507356384.3306215,118,123426.0
1507356408.7757218,119,124850.0
1507356431.4480748,120,126140.0
1507356453.128492,121,127406.0
1507356480.6663108,122,128953.0
1507356506.4576926,123,130440.0
1507356526.5362213,124,131570.0
1507356551.5562584,125,132991.0
1507356574.754865,126,134359.0
1507356596.623556,127,135584.0
1507356619.911147,128,136934.0
1507356640.5016277,129,138107.0
1507356667.9190133,130,139695.0
1507356694.6285346,131,141206.0
1507356716.094888,132,142393.0
1507356736.8780055,133,143542.0
1507356758.5654404,134,144795.0
1507356779.4963803,135,145981.0
1507356797.418003,136,147028.0
1507356824.8697188,137,148590.0
1507356852.0128443,138,150159.0
1507356874.9057553,139,151494.0
1507356919.8397799,141,153940.0
1507356945.769668,142,155426.0
1507356969.34732,143,156792.0
1507357008.268337,144,158987.0
1507357037.758241,145,160684.0
1507357060.8049057,146,161996.0
1507357095.4203763,147,164009.0
1507357122.6254978,148,165571.0
1507357144.4018972,149,166790.0
1507357175.579276,150,168558.0
1507357203.7424915,151,170148.0
1507357235.1997614,152,171929.0
1507357268.2237265,153,173792.0
1507357301.6414468,154,175595.0
1507357335.0489666,155,177480.0
1507357380.2957177,156,179928.0
1507357414.9776676,157,181810.0
1507357436.2471685,158,183027.0
1507357469.0689063,159,184885.0
1507357489.8006604,160,186079.0
1507357515.7365897,161,187639.0
1507357541.829135,162,189168.0
1507357566.7183058,163,190645.0
1507357627.2744267,165,194104.0
1507357654.8340597,166,195652.0
1507357681.159139,167,197122.0
1507357710.5351381,168,198770.0
1507357742.7595623,169,200452.0
1507357783.0970635,170,202724.0
1507357815.9748518,171,204539.0
1507357847.1010833,172,206238.0
1507357886.6589594,173,208440.0
1507357934.7653224,174,211183.0
1507357969.3515532,175,213091.0
1507358012.1509254,176,215484.0
1507358046.994262,177,217396.0
1507358096.6531677,178,220249.0
1507358123.7322302,179,221762.0
1507358158.6659513,180,223710.0
1507358202.8387969,181,226217.0
1507358241.145151,182,228399.0
1507358279.0268607,183,230505.0
1507358312.949422,184,232380.0
1507358360.7965157,185,235044.0
1507358393.3579342,186,236906.0
1507358421.9973812,187,238527.0
1507358443.664659,188,239775.0
1507358488.191863,189,242302.0
1507358529.612433,190,244554.0
1507358573.4913754,191,247014.0
1507358608.8324773,192,249001.0
1507358649.3577995,193,251205.0
1507358696.729468,194,253763.0
1507358733.1422853,195,255846.0
1507358783.2361133,196,258712.0
1507358812.5121315,197,260400.0
1507358846.9781938,198,262305.0
1507358885.9729125,199,264493.0
1507358941.8847504,200,267602.0
1507358977.9921541,201,269735.0
1507359014.8563519,202,271849.0
1507359062.0914922,203,274444.0
1507359097.6574895,204,276513.0
1507359141.0252905,205,279046.0
1507359167.928182,206,280563.0
1507359274.5222776,209,286505.0
1507359304.9994075,210,288204.0
1507359344.1402228,211,290338.0
1507359377.392827,212,292247.0
1507359404.2242727,213,293698.0
1507359444.4092786,214,295960.0
1507359494.23722,215,298794.0
1507359580.016677,217,303678.0
1507359620.2217102,218,305921.0
1507359648.0994825,219,307503.0
1507359698.174441,220,310274.0
1507359733.780936,221,312277.0
1507359836.263718,223,318057.0
1507359882.5609782,224,320575.0
1507359930.1618426,225,323282.0
1507359979.546228,226,326081.0
1507360020.1833656,227,328406.0
1507360045.7060902,228,329910.0
1507360086.9581368,229,332383.0
1507360132.2414575,230,334966.0
1507360158.2915573,231,336404.0
1507360181.066658,232,337688.0
1507360202.417279,233,338923.0
1507360247.228519,234,341446.0
1507360283.6327162,235,343461.0
1507360370.4173684,237,348301.0
1507360407.4743705,238,350363.0
1507360448.0240247,239,352715.0
1507360487.2667823,240,355022.0
1507360525.2091904,241,357127.0
1507360557.0849752,242,358958.0
1507360597.455081,243,361140.0
1507360633.9841454,244,363176.0
1507360667.063361,245,365066.0
1507360706.4488816,246,367263.0
1507360751.8206077,247,369811.0
1507360798.4747567,248,372446.0
1507360851.8950572,249,375410.0
1507360912.7541385,250,378847.0
1507360968.8078165,251,382018.0
1507361024.5573354,252,385201.0
1507361089.2969406,253,388749.0
1507361134.9641304,254,391360.0
1507361188.8036494,255,394306.0
1507361239.0516145,256,397207.0
1507361278.8576956,257,399450.0
1507361314.268095,258,401348.0
1507361366.41406,259,404260.0
1507361408.1053734,260,406755.0
1507361451.4285922,261,409212.0
1507361489.5692177,262,411341.0
1507361538.62875,263,414023.0
1507361590.014573,264,416975.0
1507361626.4655132,265,419090.0
1507361676.8616176,266,421900.0
1507361713.1805212,267,423984.0
1507361770.781536,268,427242.0
1507361818.8272421,269,429990.0
1507361875.5200987,270,433099.0
1507361918.3024151,271,435521.0
1507361960.8916576,272,437971.0
1507362000.9229312,273,440167.0
1507362039.226549,274,442317.0
1507362086.0737085,275,445036.0
1507362131.3691866,276,447532.0
1507362180.5873094,277,450352.0
1507362257.8546607,279,454739.0
1507362296.749809,280,456906.0
1507362335.015746,281,459066.0
1507362393.475687,282,462391.0
1507362432.7646925,283,464608.0
1507362480.6713545,284,467391.0
1507362527.330454,285,470128.0
1507362562.9439564,286,472172.0
1507362597.3860216,287,474146.0
1507362628.7053137,288,475889.0
1507362668.7435849,289,478076.0
1507362707.307813,290,480277.0
1507362737.3973126,291,481982.0
1507362774.701009,292,484030.0
1507362814.499737,293,486278.0
1507362852.8896906,294,488494.0
1507362884.728586,295,490257.0
1507362919.1389976,296,492071.0
1507362951.3800862,297,493875.0
1507362987.43862,298,495933.0
1507363026.4271584,299,498134.0
1507363100.6813872,301,502153.0
1507363168.86543,303,506024.0
1507363203.2720573,304,507960.0
1507363233.9399421,305,509679.0
1507363269.3954852,306,511694.0
1507363311.847264,307,514103.0
1507363359.654611,308,516767.0
1507363391.509313,309,518544.0
1507363431.5458775,310,520751.0
1507363474.2720037,311,523201.0
1507363515.1021166,312,525596.0
1507363552.2011936,313,527805.0
1507363588.2417898,314,529842.0
1507363630.7841182,315,532238.0
1507363659.947584,316,533884.0
1507363701.5114436,317,536165.0
1507363776.8719127,319,540385.0
1507363813.2958226,320,542458.0
1507363849.4847074,321,544456.0
1507363881.6848552,322,546267.0
1507363910.6031528,323,547951.0
1507363980.0177436,325,551956.0
1507364021.172742,326,554274.0
1507364054.6978683,327,556213.0
1507364092.4319196,328,558279.0
1507364124.4135542,329,560058.0
1507364154.275181,330,561775.0
1507364196.952377,331,564176.0
1507364238.5107956,332,566520.0
1507364270.523065,333,568269.0
1507364307.3413827,334,570287.0
1507364336.669113,335,571954.0
1507364375.2462616,336,574128.0
1507364412.7648597,337,576159.0
1507364452.8604283,338,578387.0
1507364486.7414863,339,580310.0
1507364515.7679942,340,581982.0
1507364546.6691785,341,583746.0
1507364575.678293,342,585429.0
1507364610.904647,343,587385.0
1507364654.878721,344,589847.0
1507364696.1104066,345,592174.0
1507364733.6603613,346,594312.0
1507364768.8958302,347,596418.0
1507364796.3948553,348,598061.0
1507364840.5915713,349,600473.0
1507364880.7857063,350,602735.0
1507364918.407303,351,604840.0
1507364955.8557205,352,606884.0
1507364986.7746065,353,608662.0
1507365023.6994758,354,610715.0
1507365057.9612956,355,612680.0
1507365120.2680445,356,616161.0
1507365167.5704355,357,618835.0
1507365203.2524319,358,620800.0
1507365237.460569,359,622688.0
1507365287.4148774,360,625434.0
1507365324.2500255,361,627534.0
1507365357.751542,362,629403.0
1507365396.4733093,363,631505.0
1507365445.200735,364,634337.0
1507365501.056164,365,637357.0
1507365546.8187275,366,639881.0
1507365587.5183856,367,642082.0
1507365620.4336543,368,643989.0
1507365667.3855078,369,646613.0
1507365704.9160469,370,648724.0
1507365740.4597886,371,650723.0
1507365786.6778424,372,653311.0
1507365820.3115149,373,655152.0
1507365866.7938044,374,657711.0
1507365901.5200994,375,659570.0
1507365936.656472,376,661547.0
1507365984.0475438,377,664221.0
1507366025.3737216,378,666580.0
1507366061.9394212,379,668679.0
1507366092.2937176,380,670466.0
1507366167.8287184,382,674649.0
1507366201.8157363,383,676584.0
1507366238.7019565,384,678600.0
1507366276.1934078,385,680659.0
1507366307.6555047,386,682440.0
1507366342.6252112,387,684394.0
1507366376.601197,388,686345.0
1507366418.3617136,389,688635.0
1507366449.1036148,390,690282.0
1507366490.907733,391,692612.0
1507366533.2601397,392,694937.0
1507366574.2272472,393,697170.0
1507366610.1202917,394,699136.0
1507366643.3869426,395,700907.0
1507366680.4509673,396,702994.0
1507366720.8294516,397,705354.0
1507366762.041295,398,707583.0
1507366799.1037033,399,709687.0
1507366835.8396304,400,711771.0
1507366882.9817827,401,714323.0
1507366925.6324968,402,716640.0
1507366963.5517142,403,718721.0
1507367000.2325337,404,720793.0
1507367031.651001,405,722604.0
1507367106.9584436,407,726734.0
1507367144.3520331,408,728901.0
1507367185.3214765,409,731215.0
1507367216.887204,410,733012.0
1507367256.4749928,411,735198.0
1507367290.7787352,412,737164.0
1507367323.1339035,413,738876.0
1507367353.6318462,414,740623.0
1507367390.3430703,415,742675.0
1507367427.036977,416,744662.0
1507367466.3695421,417,746878.0
1507367504.0655515,418,749023.0
1507367539.4823859,419,751019.0
1507367580.4690673,420,753275.0
1507367614.8888853,421,755304.0
1507367666.752047,422,758102.0
1507367698.3046713,423,759848.0
1507367737.6781054,424,761982.0
1507367770.642095,425,763752.0
1507367805.81208,426,765806.0
1507367841.349741,427,767784.0
1507367880.838815,428,769904.0
1507367983.4798982,430,775767.0
1507368029.4411328,431,778301.0
1507368075.0217786,432,780914.0
1507368109.9404223,433,782753.0
1507368140.095405,434,784436.0
1507368179.182061,435,786607.0
1507368215.6834333,436,788686.0
1507368245.248762,437,790370.0
1507368288.0175328,438,792760.0
1507368320.7567964,439,794536.0
1507368363.1053095,440,796827.0
1507368400.5875018,441,798928.0
1507368429.24046,442,800493.0
1507368477.3186696,444,803142.0
1507368556.7599914,446,807571.0
