Wall time,Step,Value
1507472597.915708,11,945.0
1507472614.7808418,12,1029.0
1507472628.2499256,13,838.0
1507472640.6108878,14,757.0
1507472655.6644573,15,940.0
1507472673.5209267,16,1094.0
1507472687.846336,17,896.0
1507472703.3437705,18,956.0
1507472718.9540594,19,959.0
1507472734.1315746,20,935.0
1507472746.4249964,21,756.0
1507472764.5252147,22,1092.0
1507472778.1619136,23,834.0
1507472791.1544716,24,788.0
1507472805.6988122,25,885.0
1507472820.836164,26,925.0
1507472835.937059,27,925.0
1507472849.2301114,28,817.0
1507472863.1063602,29,864.0
1507472876.5608134,30,838.0
1507472892.8678963,31,1011.0
1507472911.1745348,32,1140.0
1507472926.320988,33,910.0
1507472940.517025,34,868.0
1507472957.6915033,35,1052.0
1507472974.8967216,36,1069.0
1507472991.840912,37,1056.0
1507473007.2160802,38,958.0
1507473021.1087458,39,862.0
1507473036.667274,40,955.0
1507473051.9284985,41,952.0
1507473067.7303638,42,977.0
1507473084.126742,43,1004.0
1507473099.486004,44,943.0
1507473113.7814226,45,880.0
1507473128.4659543,46,889.0
1507473143.2779791,47,905.0
1507473156.9527671,48,849.0
1507473170.2016337,49,822.0
1507473184.9958727,50,907.0
1507473201.8554966,51,1016.0
1507473237.0624993,53,956.0
1507473249.3927312,54,757.0
1507473265.6322627,55,997.0
1507473280.0669007,56,893.0
1507473299.7015364,57,1175.0
1507473318.4967752,58,1154.0
1507473338.9828744,59,1239.0
1507473355.077005,60,983.0
1507473370.4784946,61,925.0
1507473388.3024752,62,1096.0
1507473406.772039,63,1137.0
1507473420.33399,64,807.0
1507473438.10435,65,1079.0
1507473455.5323925,66,1058.0
1507473475.6342146,67,1213.0
1507473497.4547615,68,1308.0
1507473519.9126236,69,1350.0
1507473542.0851698,70,1339.0
1507473560.7283309,71,1095.0
1507473580.8625712,72,1198.0
1507473598.3572755,73,1057.0
1507473614.500275,74,985.0
1507473630.8392415,75,990.0
1507473649.533387,76,1133.0
1507473669.2812846,77,1171.0
1507473687.318763,78,1061.0
1507473708.0310981,79,1216.0
1507473731.241446,80,1356.0
1507473750.917984,81,1173.0
1507473775.2021644,82,1446.0
1507473794.2095854,83,1106.0
1507473811.7810974,84,1058.0
1507473834.1360981,85,1322.0
1507473861.2203493,86,1648.0
1507473878.9880753,87,1052.0
1507473899.120298,88,1194.0
1507473917.5148406,89,1060.0
1507473939.2328002,90,1252.0
1507473967.8392336,91,1627.0
1507473994.1561146,92,1489.0
1507474017.7063365,93,1378.0
1507474039.3101754,94,1267.0
1507474067.2501383,95,1631.0
1507474088.9013546,96,1224.0
1507474112.4339726,97,1379.0
1507474132.4801636,98,1147.0
1507474158.3412094,99,1461.0
1507474182.921418,100,1397.0
1507474212.6276467,101,1672.0
1507474238.9915452,102,1435.0
1507474261.8913474,103,1295.0
1507474284.22338,104,1285.0
1507474312.5162392,105,1592.0
1507474343.679112,106,1769.0
1507474374.660509,107,1762.0
1507474409.0576284,108,1978.0
1507474431.6803603,109,1322.0
1507474461.4278145,110,1738.0
1507474492.665189,111,1792.0
1507474514.2217264,112,1247.0
1507474543.3973134,113,1700.0
1507474569.5960598,114,1493.0
1507474594.2345283,115,1428.0
1507474615.0740492,116,1212.0
1507474653.2011838,117,2215.0
1507474678.917788,118,1496.0
1507474705.2496376,119,1529.0
1507474742.9115613,120,2182.0
1507474772.79636,121,1713.0
1507474802.9045877,122,1727.0
1507474830.2827122,123,1589.0
1507474868.4201744,124,2191.0
1507474897.3061144,125,1648.0
1507474931.0997224,126,1951.0
1507474961.520965,127,1747.0
1507475003.8454826,128,2436.0
1507475040.029979,129,2045.0
1507475072.5867321,130,1883.0
1507475104.0774665,131,1804.0
1507475136.3446894,132,1844.0
1507475165.653012,133,1649.0
1507475202.850525,134,2131.0
1507475230.8644636,135,1590.0
1507475256.4246051,136,1442.0
1507475296.2237716,137,2246.0
1507475336.6231031,138,2306.0
1507475371.5435674,139,1990.0
1507475409.5273058,140,2185.0
1507475445.6905751,141,2067.0
1507475474.8115387,142,1653.0
1507475496.5009675,143,1237.0
1507475528.501274,144,1821.0
1507475560.2805078,145,1809.0
1507475603.203298,146,2466.0
1507475641.9202938,147,2198.0
1507475684.2176251,148,2379.0
1507475723.1054876,149,2206.0
1507475761.2294612,150,2196.0
1507475805.419962,151,2520.0
1507475845.422031,152,2224.0
1507475882.2188053,153,2092.0
1507475941.3849342,154,3328.0
1507475985.3607445,155,2498.0
1507476025.2308807,156,2254.0
1507476083.783556,157,3330.0
1507476134.8802981,158,2910.0
1507476196.3743744,159,3515.0
1507476255.107284,160,3349.0
1507476306.39917,161,2926.0
1507476361.6328926,162,3154.0
1507476477.4849024,164,3296.0
1507476540.5323756,165,3573.0
1507476589.1016643,166,2785.0
1507476642.3382723,167,3020.0
1507476702.1956306,168,3400.0
1507476765.0002687,169,3567.0
1507476821.7215598,170,3206.0
1507476873.2999263,171,2941.0
1507476934.0037837,172,3465.0
1507476999.7615888,173,3741.0
1507477064.8682177,174,3721.0
1507477126.5902672,175,3514.0
1507477187.0323966,176,3446.0
1507477260.9513266,177,4213.0
1507477342.3805208,178,4643.0
1507477406.625703,179,3667.0
1507477472.4335704,180,3754.0
1507477535.1026404,181,3572.0
1507477593.6133528,182,3279.0
1507477632.1803248,183,2199.0
1507477679.367177,184,2694.0
1507477741.8267624,185,3560.0
1507477801.872564,186,3427.0
1507477852.522334,187,2886.0
1507477890.79723,188,2184.0
1507477935.7094302,189,2561.0
1507477996.2585032,190,3451.0
1507478050.5967371,191,3084.0
1507478087.9373214,192,2118.0
1507478133.2821834,193,2586.0
1507478198.0084555,194,3681.0
1507478246.843521,195,2769.0
1507478309.204106,196,3465.0
1507478359.245853,197,2853.0
1507478430.2816117,198,4004.0
1507478484.8073244,199,3089.0
1507478529.3035028,200,2524.0
1507478570.0825682,201,2331.0
1507478608.430176,202,2146.0
1507478649.466437,203,2334.0
1507478703.893043,204,3091.0
1507478739.5690756,205,2022.0
1507478829.5420668,207,2253.0
1507478880.4138267,208,2869.0
1507478933.826079,209,3022.0
1507478974.4558153,210,2302.0
1507479031.471334,211,3231.0
1507479075.5208745,212,2507.0
1507479118.3523653,213,2432.0
1507479163.0407836,214,2534.0
1507479239.722654,216,2282.0
1507479291.0538423,217,2877.0
1507479329.5755506,218,2184.0
1507479371.3154519,219,2315.0
1507479426.4122298,220,3124.0
1507479511.5541046,222,2265.0
1507479571.251215,223,3373.0
1507479612.9024854,224,2371.0
1507479672.7170844,225,3374.0
1507479713.0553389,226,2301.0
1507479748.6416059,227,2032.0
1507479784.603003,228,2042.0
1507479827.334756,229,2437.0
1507479887.5032306,230,3376.0
1507479950.2678287,231,3537.0
1507479988.6875322,232,2122.0
1507480025.9616053,233,2124.0
1507480079.1892352,234,3031.0
1507480190.8075905,236,3319.0
1507480244.5400233,237,3072.0
1507480288.1118786,238,2481.0
1507480334.6157923,239,2643.0
1507480375.0314393,240,2291.0
1507480420.5744672,241,2582.0
1507480472.3636231,242,2924.0
1507480517.2303936,243,2547.0
1507480559.2949407,244,2382.0
1507480613.578513,245,3060.0
1507480652.5485885,246,2216.0
1507480689.8002546,247,2111.0
1507480737.22743,248,2683.0
1507480787.7617705,249,2864.0
1507480822.6859584,250,1987.0
1507480858.6501038,251,2047.0
1507480908.845427,252,2848.0
1507480945.7171364,253,2099.0
1507480983.7949893,254,2162.0
1507481039.3475716,255,3156.0
1507481085.5951586,256,2626.0
1507481139.8687508,257,3018.0
