Wall time,Step,Value
1507472597.915708,11,10591.0
1507472614.7808418,12,11620.0
1507472628.2499256,13,12458.0
1507472640.6108878,14,13215.0
1507472655.6644573,15,14155.0
1507472673.5209267,16,15249.0
1507472687.846336,17,16145.0
1507472703.3437705,18,17101.0
1507472718.9540594,19,18060.0
1507472734.1315746,20,18995.0
1507472746.4249964,21,19751.0
1507472764.5252147,22,20843.0
1507472778.1619136,23,21677.0
1507472791.1544716,24,22465.0
1507472805.6988122,25,23350.0
1507472820.836164,26,24275.0
1507472835.937059,27,25200.0
1507472849.2301114,28,26017.0
1507472863.1063602,29,26881.0
1507472876.5608134,30,27719.0
1507472892.8678963,31,28730.0
1507472911.1745348,32,29870.0
1507472926.320988,33,30780.0
1507472940.517025,34,31648.0
1507472957.6915033,35,32700.0
1507472974.8967216,36,33769.0
1507472991.840912,37,34825.0
1507473007.2160802,38,35783.0
1507473021.1087458,39,36645.0
1507473036.667274,40,37600.0
1507473051.9284985,41,38552.0
1507473067.7303638,42,39529.0
1507473084.126742,43,40533.0
1507473099.486004,44,41476.0
1507473113.7814226,45,42356.0
1507473128.4659543,46,43245.0
1507473143.2779791,47,44150.0
1507473156.9527671,48,44999.0
1507473170.2016337,49,45821.0
1507473184.9958727,50,46728.0
1507473201.8554966,51,47744.0
1507473237.0624993,53,49905.0
1507473249.3927312,54,50662.0
1507473265.6322627,55,51659.0
1507473280.0669007,56,52552.0
1507473299.7015364,57,53727.0
1507473318.4967752,58,54881.0
1507473338.9828744,59,56120.0
1507473355.077005,60,57103.0
1507473370.4784946,61,58028.0
1507473388.3024752,62,59124.0
1507473406.772039,63,60261.0
1507473420.33399,64,61068.0
1507473438.10435,65,62147.0
1507473455.5323925,66,63205.0
1507473475.6342146,67,64418.0
1507473497.4547615,68,65726.0
1507473519.9126236,69,67076.0
1507473542.0851698,70,68415.0
1507473560.7283309,71,69510.0
1507473580.8625712,72,70708.0
1507473598.3572755,73,71765.0
1507473614.500275,74,72750.0
1507473630.8392415,75,73740.0
1507473649.533387,76,74873.0
1507473669.2812846,77,76044.0
1507473687.318763,78,77105.0
1507473708.0310981,79,78321.0
1507473731.241446,80,79677.0
1507473750.917984,81,80850.0
1507473775.2021644,82,82296.0
1507473794.2095854,83,83402.0
1507473811.7810974,84,84460.0
1507473834.1360981,85,85782.0
1507473861.2203493,86,87430.0
1507473878.9880753,87,88482.0
1507473899.120298,88,89676.0
1507473917.5148406,89,90736.0
1507473939.2328002,90,91988.0
1507473967.8392336,91,93615.0
1507473994.1561146,92,95104.0
1507474017.7063365,93,96482.0
1507474039.3101754,94,97749.0
1507474067.2501383,95,99380.0
1507474088.9013546,96,100604.0
1507474112.4339726,97,101983.0
1507474132.4801636,98,103130.0
1507474158.3412094,99,104591.0
1507474182.921418,100,105988.0
1507474212.6276467,101,107660.0
1507474238.9915452,102,109095.0
1507474261.8913474,103,110390.0
1507474284.22338,104,111675.0
1507474312.5162392,105,113267.0
1507474343.679112,106,115036.0
1507474374.660509,107,116798.0
1507474409.0576284,108,118776.0
1507474431.6803603,109,120098.0
1507474461.4278145,110,121836.0
1507474492.665189,111,123628.0
1507474514.2217264,112,124875.0
1507474543.3973134,113,126575.0
1507474569.5960598,114,128068.0
1507474594.2345283,115,129496.0
1507474615.0740492,116,130708.0
1507474653.2011838,117,132923.0
1507474678.917788,118,134419.0
1507474705.2496376,119,135948.0
1507474742.9115613,120,138130.0
1507474772.79636,121,139843.0
1507474802.9045877,122,141570.0
1507474830.2827122,123,143159.0
1507474868.4201744,124,145350.0
1507474897.3061144,125,146998.0
1507474931.0997224,126,148949.0
1507474961.520965,127,150696.0
1507475003.8454826,128,153132.0
1507475040.029979,129,155177.0
1507475072.5867321,130,157060.0
1507475104.0774665,131,158864.0
1507475136.3446894,132,160708.0
1507475165.653012,133,162357.0
1507475202.850525,134,164488.0
1507475230.8644636,135,166078.0
1507475256.4246051,136,167520.0
1507475296.2237716,137,169766.0
1507475336.6231031,138,172072.0
1507475371.5435674,139,174062.0
1507475409.5273058,140,176247.0
1507475445.6905751,141,178314.0
1507475474.8115387,142,179967.0
1507475496.5009675,143,181204.0
1507475528.501274,144,183025.0
1507475560.2805078,145,184834.0
1507475603.203298,146,187300.0
1507475641.9202938,147,189498.0
1507475684.2176251,148,191877.0
1507475723.1054876,149,194083.0
1507475761.2294612,150,196279.0
1507475805.419962,151,198799.0
1507475845.422031,152,201023.0
1507475882.2188053,153,203115.0
1507475941.3849342,154,206443.0
1507475985.3607445,155,208941.0
1507476025.2308807,156,211195.0
1507476083.783556,157,214525.0
1507476134.8802981,158,217435.0
1507476196.3743744,159,220950.0
1507476255.107284,160,224299.0
1507476306.39917,161,227225.0
1507476361.6328926,162,230379.0
1507476477.4849024,164,236973.0
1507476540.5323756,165,240546.0
1507476589.1016643,166,243331.0
1507476642.3382723,167,246351.0
1507476702.1956306,168,249751.0
1507476765.0002687,169,253318.0
1507476821.7215598,170,256524.0
1507476873.2999263,171,259465.0
1507476934.0037837,172,262930.0
1507476999.7615888,173,266671.0
1507477064.8682177,174,270392.0
1507477126.5902672,175,273906.0
1507477187.0323966,176,277352.0
1507477260.9513266,177,281565.0
