Wall time,Step,Value
1507558949.1726205,11,816.0
1507558960.9944203,12,834.0
1507558988.2204268,14,1107.0
1507559000.378406,15,883.0
1507559011.6762025,16,816.0
1507559027.269787,17,1128.0
1507559039.3366024,18,862.0
1507559049.966823,19,762.0
1507559061.6518488,20,863.0
1507559074.0059738,21,881.0
1507559084.9536974,22,787.0
1507559095.5337484,23,774.0
1507559107.8388498,24,884.0
1507559119.9494457,25,876.0
1507559131.9574587,26,836.0
1507559145.521896,27,991.0
1507559161.361793,28,1138.0
1507559173.049482,29,847.0
1507559185.3245583,30,874.0
1507559198.663999,31,978.0
1507559212.3762467,32,975.0
1507559224.0497568,33,837.0
1507559236.1102676,34,863.0
1507559249.575526,35,965.0
1507559264.2124772,36,1031.0
1507559276.3036666,37,874.0
1507559288.187806,38,845.0
1507559312.353625,40,841.0
1507559324.5716834,41,866.0
1507559340.7887886,42,1134.0
1507559357.1555712,43,1193.0
1507559372.5731025,44,1046.0
1507559385.6683593,45,923.0
1507559410.5069127,47,831.0
1507559425.570338,48,1074.0
1507559438.763742,49,950.0
1507559450.900112,50,877.0
1507559466.6158578,51,1139.0
1507559494.245548,53,931.0
1507559510.7696846,54,1163.0
1507559528.4393969,55,1274.0
1507559543.003677,56,1017.0
1507559557.439553,57,1014.0
1507559578.3018625,58,1475.0
1507559613.539791,60,1094.0
1507559630.2534375,61,1188.0
1507559661.8240633,63,1140.0
1507559682.8140235,64,1487.0
1507559701.5089073,65,1301.0
1507559719.8878896,66,1278.0
1507559740.3057394,67,1436.0
1507559755.6716852,68,1111.0
1507559790.4311945,70,1276.0
1507559809.8483472,71,1364.0
1507559828.7782772,72,1354.0
1507559841.6555836,73,926.0
1507559859.2217581,74,1266.0
1507559873.72162,75,1028.0
1507559892.2361264,76,1306.0
1507559914.209558,77,1543.0
1507559933.6584072,78,1396.0
1507559949.9136267,79,1162.0
1507559969.6248066,80,1373.0
1507560006.7473917,82,1497.0
1507560024.8179796,83,1267.0
1507560043.5026572,84,1330.0
1507560064.0495255,85,1473.0
1507560083.2457964,86,1344.0
1507560097.1729453,87,956.0
1507560113.1535707,88,1118.0
1507560134.3430073,89,1448.0
1507560150.2164736,90,1117.0
1507560195.4882169,92,1478.0
1507560215.3249867,93,1321.0
1507560255.6607049,95,1548.0
1507560281.7045317,96,1771.0
1507560299.13164,97,1205.0
1507560318.5132165,98,1387.0
1507560336.8403249,99,1275.0
1507560357.8474467,100,1486.0
1507560374.9001946,101,1208.0
1507560393.2702167,102,1305.0
1507560415.334878,103,1552.0
1507560437.300352,104,1558.0
1507560456.9500532,105,1352.0
1507560475.7955668,106,1317.0
1507560495.481991,107,1361.0
1507560513.5589726,108,1252.0
1507560562.9862597,110,1678.0
1507560578.3271203,111,1073.0
1507560597.9942715,112,1353.0
1507560620.495557,113,1562.0
1507560647.1032264,114,1872.0
1507560666.8113098,115,1364.0
1507560688.368717,116,1483.0
1507560715.4192746,117,1903.0
1507560735.9698033,118,1430.0
1507560761.7249658,119,1800.0
1507560779.7563763,120,1264.0
1507560805.5849276,121,1790.0
1507560830.869981,122,1772.0
1507560856.082394,123,1757.0
1507560882.1703308,124,1807.0
