Wall time,Step,Value
1507390185.2347665,11,984.0
1507390195.298859,12,761.0
1507390204.730767,13,819.0
1507390218.5204015,14,1138.0
1507390227.8999076,15,853.0
1507390242.493075,16,1209.0
1507390253.0247047,17,926.0
1507390266.787826,18,1133.0
1507390278.625308,19,927.0
1507390290.4078605,20,1065.0
1507390303.0175228,21,1001.0
1507390315.6722386,22,1080.0
1507390325.3218641,23,780.0
1507390336.9866104,24,973.0
1507390346.0826273,25,920.0
1507390357.6549132,26,912.0
1507390367.4185812,27,817.0
1507390378.9228365,28,881.0
1507390390.5738096,29,901.0
1507390401.7445178,30,906.0
1507390415.8830593,31,1070.0
1507390426.70032,32,883.0
1507390438.759489,33,1070.0
1507390448.7916377,34,907.0
1507390461.6871321,35,1069.0
1507390470.7552269,36,802.0
1507390482.3434615,37,875.0
1507390492.2266786,38,863.0
1507390515.0195456,40,1077.0
1507390530.1457262,41,1154.0
1507390541.114706,42,947.0
1507390551.5450528,43,1035.0
1507390564.4479861,44,1006.0
1507390579.2583404,45,1258.0
1507390593.3490906,46,1111.0
1507390606.5693822,47,1141.0
1507390621.3930311,48,1263.0
1507390633.643656,49,968.0
1507390649.674862,50,1313.0
1507390659.9025428,51,1018.0
1507390682.7031941,53,1062.0
1507390694.8162498,54,1283.0
1507390705.7335782,55,1011.0
1507390718.5367107,56,1079.0
1507390732.616076,57,1029.0
1507390750.3648672,58,1435.0
1507390764.572201,59,1159.0
1507390773.5706089,60,815.0
1507390791.203338,61,1300.0
1507390804.423135,62,1018.0
1507390815.9407394,63,932.0
1507390830.8080997,64,1110.0
1507390844.895471,65,1137.0
1507390861.0996554,66,1319.0
1507390873.5986507,67,952.0
1507390892.6964564,68,1457.0
1507390908.0357673,69,1289.0
1507390924.2020867,70,1201.0
1507390940.2187536,71,1250.0
1507390951.4909976,72,1040.0
1507390967.8694518,73,1369.0
1507390984.1467786,74,1272.0
1507390999.6012678,75,1256.0
1507391014.364036,76,1201.0
1507391031.793642,77,1263.0
1507391047.6194906,78,1247.0
1507391061.7197604,79,1139.0
1507391075.34056,80,1115.0
1507391087.0760882,81,1068.0
1507391100.8138142,82,1098.0
1507391113.7695723,83,1096.0
1507391133.3524234,84,1592.0
1507391156.469592,85,1566.0
1507391173.0343027,86,1246.0
1507391188.443332,87,1063.0
1507391204.8881178,88,1250.0
1507391225.4079847,89,1365.0
1507391239.5783057,90,1151.0
1507391253.4699924,91,1068.0
1507391274.6022267,92,1478.0
1507391286.7603652,93,999.0
1507391304.3378954,94,1381.0
1507391323.8417902,95,1454.0
1507391339.4531333,96,1176.0
1507391357.868973,97,1353.0
1507391378.8589766,98,1712.0
1507391403.3627613,99,1816.0
1507391423.7750688,100,1669.0
1507391437.5455697,101,1366.0
1507391451.995097,102,1466.0
1507391466.60536,103,1195.0
1507391489.6641955,104,1696.0
1507391509.5340588,105,1481.0
1507391525.7876718,106,1195.0
1507391541.4203424,107,1332.0
1507391563.8561318,108,1716.0
1507391580.6164007,109,1300.0
1507391604.982276,110,1984.0
1507391624.9613054,111,1460.0
1507391642.3094544,112,1274.0
1507391666.0465379,113,1898.0
1507391683.4126782,114,1435.0
1507391708.067418,115,2062.0
1507391733.9900565,116,2050.0
1507391758.131142,117,1810.0
1507391777.8120606,118,1489.0
1507391795.607718,119,1352.0
1507391818.603533,120,1587.0
1507391840.7036688,121,1744.0
1507391865.9314704,122,1728.0
1507391883.9635322,123,1427.0
1507391905.8838398,124,1695.0
1507391925.0142944,125,1500.0
1507391951.8663936,126,2120.0
1507391973.940194,127,1864.0
1507392002.9847198,128,2099.0
1507392029.6430707,129,1949.0
1507392047.9064202,130,1526.0
1507392069.2225986,131,1635.0
1507392092.747529,132,1706.0
1507392111.2475617,133,1425.0
1507392134.4886274,134,1672.0
1507392158.992605,135,1828.0
1507392180.9314916,136,1590.0
1507392209.7361472,137,1915.0
1507392232.3767614,138,1634.0
1507392277.3134544,140,1654.0
1507392312.7997024,141,2560.0
1507392335.0052853,142,1816.0
1507392360.3231528,143,1926.0
1507392384.8681934,144,1891.0
1507392421.134823,145,2684.0
1507392453.1280477,146,2481.0
1507392471.260602,147,1798.0
1507392490.8273575,148,2000.0
1507392507.5445895,149,1705.0
1507392531.1910236,150,2403.0
1507392555.457836,151,2370.0
1507392577.4674852,152,2228.0
1507392594.6713338,153,1742.0
1507392615.8826296,154,2141.0
1507392639.3596485,155,2377.0
1507392662.401206,156,2335.0
1507392690.2419422,157,2832.0
1507392723.3383608,158,3366.0
1507392748.0275772,159,2501.0
1507392779.1686132,160,3169.0
