Wall time,Step,Value
1507390185.2347665,11,10741.0
1507390195.298859,12,11502.0
1507390204.730767,13,12321.0
1507390218.5204015,14,13459.0
1507390227.8999076,15,14312.0
1507390242.493075,16,15521.0
1507390253.0247047,17,16447.0
1507390266.787826,18,17580.0
1507390278.625308,19,18507.0
1507390290.4078605,20,19572.0
1507390303.0175228,21,20573.0
1507390315.6722386,22,21653.0
1507390325.3218641,23,22433.0
1507390336.9866104,24,23406.0
1507390346.0826273,25,24326.0
1507390357.6549132,26,25238.0
1507390367.4185812,27,26055.0
1507390378.9228365,28,26936.0
1507390390.5738096,29,27837.0
1507390401.7445178,30,28743.0
1507390415.8830593,31,29813.0
1507390426.70032,32,30696.0
1507390438.759489,33,31766.0
1507390448.7916377,34,32673.0
1507390461.6871321,35,33742.0
1507390470.7552269,36,34544.0
1507390482.3434615,37,35419.0
1507390492.2266786,38,36282.0
1507390515.0195456,40,38471.0
1507390530.1457262,41,39625.0
1507390541.114706,42,40572.0
1507390551.5450528,43,41607.0
1507390564.4479861,44,42613.0
1507390579.2583404,45,43871.0
1507390593.3490906,46,44982.0
1507390606.5693822,47,46123.0
1507390621.3930311,48,47386.0
1507390633.643656,49,48354.0
1507390649.674862,50,49667.0
1507390659.9025428,51,50685.0
1507390682.7031941,53,52960.0
1507390694.8162498,54,54243.0
1507390705.7335782,55,55254.0
1507390718.5367107,56,56333.0
1507390732.616076,57,57362.0
1507390750.3648672,58,58797.0
1507390764.572201,59,59956.0
1507390773.5706089,60,60771.0
1507390791.203338,61,62071.0
1507390804.423135,62,63089.0
1507390815.9407394,63,64021.0
1507390830.8080997,64,65131.0
1507390844.895471,65,66268.0
1507390861.0996554,66,67587.0
1507390873.5986507,67,68539.0
1507390892.6964564,68,69996.0
1507390908.0357673,69,71285.0
1507390924.2020867,70,72486.0
1507390940.2187536,71,73736.0
1507390951.4909976,72,74776.0
1507390967.8694518,73,76145.0
1507390984.1467786,74,77417.0
1507390999.6012678,75,78673.0
1507391014.364036,76,79874.0
1507391031.793642,77,81137.0
1507391047.6194906,78,82384.0
1507391061.7197604,79,83523.0
1507391075.34056,80,84638.0
1507391087.0760882,81,85706.0
1507391100.8138142,82,86804.0
1507391113.7695723,83,87900.0
1507391133.3524234,84,89492.0
