Wall time,Step,Value
1507522438.6087587,11,847.0
1507522454.7123508,12,1160.0
1507522479.9027276,14,997.0
1507522490.132331,15,755.0
1507522503.2308886,16,972.0
1507522515.896818,17,941.0
1507522527.0747006,18,818.0
1507522538.0079098,19,808.0
1507522549.307381,20,837.0
1507522559.5800707,21,757.0
1507522573.867797,22,1049.0
1507522587.5233724,23,1003.0
1507522599.7647996,24,893.0
1507522612.2683344,25,927.0
1507522625.6815598,26,990.0
1507522638.9637065,27,980.0
1507522652.5184524,28,1000.0
1507522663.369534,29,795.0
1507522674.7570634,30,837.0
1507522686.2903109,31,851.0
1507522697.1992455,32,802.0
1507522712.7135568,33,1123.0
1507522727.8920581,34,1119.0
1507522739.4729102,35,849.0
1507522753.303052,36,1017.0
1507522766.016225,37,929.0
1507522782.7133193,38,1206.0
1507522817.182868,40,1471.0
1507522829.9778144,41,927.0
1507522845.626301,42,1150.0
1507522860.4234624,43,1084.0
1507522872.4348907,44,878.0
1507522885.2299764,45,924.0
1507522914.8388186,47,1159.0
1507522927.2249177,48,891.0
1507522939.627092,49,895.0
1507522953.612515,50,1018.0
1507522967.5974522,51,1011.0
1507522992.6987305,53,844.0
1507523009.7598257,54,1218.0
1507523022.0417304,55,899.0
1507523036.3174348,56,1035.0
1507523050.724324,57,1043.0
1507523066.835554,58,1155.0
1507523101.1071858,60,1143.0
1507523117.5467987,61,1183.0
1507523152.4091995,63,1171.0
1507523166.9534101,64,1055.0
1507523179.6045735,65,921.0
1507523196.929638,66,1251.0
1507523214.0536015,67,1213.0
1507523230.357526,68,1148.0
1507523261.3888192,70,1043.0
1507523279.341023,71,1288.0
1507523296.7889364,72,1241.0
1507523311.1799936,73,1038.0
1507523328.2420857,74,1236.0
1507523346.174306,75,1293.0
1507523369.6426919,76,1701.0
1507523389.1383824,77,1398.0
1507523406.1506774,78,1227.0
1507523420.658529,79,1046.0
1507523435.579041,80,1079.0
1507523473.9439127,82,1147.0
1507523491.161313,83,1228.0
1507523510.7826989,84,1403.0
1507523535.4554787,85,1757.0
1507523553.4968643,86,1273.0
1507523574.7691865,87,1521.0
1507523595.5468476,88,1479.0
1507523615.3838792,89,1414.0
1507523636.1691597,90,1488.0
1507523675.8797312,92,1459.0
1507523701.2563117,93,1737.0
1507523737.5739083,95,1416.0
1507523755.8930695,96,1306.0
1507523789.0356069,97,2355.0
1507523812.8566773,98,1695.0
1507523831.5108478,99,1336.0
1507523851.7386267,100,1429.0
1507523866.7357483,101,1071.0
1507523883.5197055,102,1195.0
1507523902.699086,103,1367.0
1507523921.9629805,104,1349.0
1507523943.935529,105,1561.0
1507523968.4660757,106,1739.0
1507523990.9407158,107,1584.0
1507524011.4010086,108,1456.0
1507524059.6826704,110,1670.0
1507524085.1752572,111,1811.0
1507524106.083642,112,1466.0
1507524125.706804,113,1385.0
1507524144.847743,114,1349.0
1507524168.1652439,115,1644.0
1507524190.9564424,116,1603.0
1507524213.8195636,117,1611.0
1507524236.0937603,118,1571.0
1507524261.9896939,119,1826.0
1507524281.7479894,120,1395.0
1507524302.8590374,121,1487.0
1507524324.6578944,122,1539.0
1507524351.152428,123,1866.0
1507524382.3701613,124,2191.0
1507524414.2819371,125,2242.0
1507524447.1071117,126,2306.0
1507524473.4334385,127,1847.0
1507524504.8115053,128,2191.0
1507524534.4704986,129,2080.0
1507524560.14447,130,1805.0
1507524585.1854331,131,1748.0
1507524613.8117142,132,2008.0
1507524643.9102006,133,2092.0
1507524666.0169687,134,1531.0
1507524691.9996986,135,1808.0
1507524716.426928,136,1703.0
1507524753.3452742,137,2550.0
1507524782.8725352,138,2056.0
1507524855.1436348,140,2664.0
1507524892.3947499,141,2591.0
1507524919.8574715,142,1899.0
1507525009.350933,144,3114.0
1507525050.7658522,145,2871.0
1507525133.092097,147,3250.0
1507525174.1986492,148,2848.0
1507525242.7735806,150,2103.0
1507525278.3040357,151,2464.0
1507525318.0474858,152,2745.0
1507525362.97113,153,3109.0
1507525395.3422709,154,2244.0
1507525428.784733,155,2309.0
1507525462.2573533,156,2315.0
1507525500.1634693,157,2618.0
1507525558.5851736,159,2146.0
1507525611.8145568,160,3682.0
1507525647.7936497,161,2481.0
1507525677.3662577,162,2039.0
1507525736.6024015,164,1770.0
1507525764.5330791,165,1922.0
1507525788.2416801,166,1632.0
1507525817.16507,167,1993.0
1507525845.297876,168,1948.0
1507525870.3290021,169,1731.0
1507525896.0950284,170,1780.0
1507525950.4537559,172,1856.0
1507525974.7418807,173,1672.0
1507526026.375693,175,1761.0
1507526059.2251298,176,2263.0
1507526110.9230335,178,1732.0
1507526140.4765136,179,2040.0
1507526164.2470489,180,1636.0
1507526216.538939,182,1814.0
1507526245.52379,183,1984.0
1507526272.773479,184,1878.0
1507526326.29805,186,1636.0
1507526351.2239344,187,1721.0
1507526375.8560417,188,1698.0
1507526403.1819906,189,1881.0
1507526455.880193,191,1714.0
1507526479.7825804,192,1634.0
1507526506.602085,193,1851.0
1507526535.788211,194,2015.0
1507526561.858701,195,1730.0
1507526588.6790192,196,1850.0
1507526614.6252897,197,1787.0
1507526641.0704255,198,1828.0
1507526670.7905588,199,2053.0
1507526694.629757,200,1640.0
1507526719.6548288,201,1727.0
1507526743.8983269,202,1671.0
1507526821.749935,205,1672.0
1507526927.3628502,209,1764.0
1507526953.6157231,210,1807.0
1507526979.0408125,211,1751.0
1507527002.738815,212,1637.0
1507527028.7404609,213,1773.0
1507527053.6209743,214,1718.0
1507527101.7451332,216,1654.0
1507527126.3485272,217,1694.0
1507527150.4824896,218,1667.0
1507527175.0410848,219,1697.0
1507527200.7822797,220,1779.0
1507527277.0721176,223,1670.0
1507527303.8065772,224,1845.0
1507527327.520753,225,1636.0
1507527351.278998,226,1635.0
1507527375.8168397,227,1693.0
1507527400.5165794,228,1706.0
1507527426.132498,229,1769.0
1507527452.3834918,230,1812.0
1507527477.3195958,231,1719.0
1507527505.1183157,232,1913.0
1507527529.6515944,233,1692.0
1507527555.9649217,234,1817.0
1507527611.3916168,236,1809.0
1507527635.1453235,237,1634.0
1507527663.9894843,238,1992.0
1507527714.845553,240,1726.0
1507527741.5252264,241,1840.0
1507527765.220905,242,1636.0
1507527791.5799954,243,1820.0
1507527818.3822005,244,1852.0
1507527843.8696322,245,1753.0
1507527873.871826,246,2072.0
1507527923.3111227,248,1633.0
1507527947.0523016,249,1639.0
1507527995.5166452,251,1675.0
1507528021.4649417,252,1698.0
1507528054.964109,253,2287.0
1507528078.9781156,254,1654.0
1507528104.0511303,255,1717.0
1507528134.3508332,256,2078.0
1507528158.1843805,257,1637.0
1507528181.88316,258,1635.0
1507528208.3016887,259,1825.0
