Wall time,Step,Value
1507522438.6087587,11,10120.0
1507522454.7123508,12,11280.0
1507522479.9027276,14,13135.0
1507522490.132331,15,13890.0
1507522503.2308886,16,14862.0
1507522515.896818,17,15803.0
1507522527.0747006,18,16621.0
1507522538.0079098,19,17429.0
1507522549.307381,20,18266.0
1507522559.5800707,21,19023.0
1507522573.867797,22,20072.0
1507522587.5233724,23,21075.0
1507522599.7647996,24,21968.0
1507522612.2683344,25,22895.0
1507522625.6815598,26,23885.0
1507522638.9637065,27,24865.0
1507522652.5184524,28,25865.0
1507522663.369534,29,26660.0
1507522674.7570634,30,27497.0
1507522686.2903109,31,28348.0
1507522697.1992455,32,29150.0
1507522712.7135568,33,30273.0
1507522727.8920581,34,31392.0
1507522739.4729102,35,32241.0
1507522753.303052,36,33258.0
1507522766.016225,37,34187.0
1507522782.7133193,38,35393.0
1507522817.182868,40,37911.0
1507522829.9778144,41,38838.0
1507522845.626301,42,39988.0
1507522860.4234624,43,41072.0
1507522872.4348907,44,41950.0
1507522885.2299764,45,42874.0
1507522914.8388186,47,45026.0
1507522927.2249177,48,45917.0
1507522939.627092,49,46812.0
1507522953.612515,50,47830.0
1507522967.5974522,51,48841.0
1507522992.6987305,53,50669.0
1507523009.7598257,54,51887.0
1507523022.0417304,55,52786.0
1507523036.3174348,56,53821.0
1507523050.724324,57,54864.0
1507523066.835554,58,56019.0
1507523101.1071858,60,58473.0
1507523117.5467987,61,59656.0
1507523152.4091995,63,62168.0
1507523166.9534101,64,63223.0
1507523179.6045735,65,64144.0
1507523196.929638,66,65395.0
1507523214.0536015,67,66608.0
1507523230.357526,68,67756.0
1507523261.3888192,70,69991.0
1507523279.341023,71,71279.0
1507523296.7889364,72,72520.0
1507523311.1799936,73,73558.0
1507523328.2420857,74,74794.0
1507523346.174306,75,76087.0
1507523369.6426919,76,77788.0
1507523389.1383824,77,79186.0
1507523406.1506774,78,80413.0
1507523420.658529,79,81459.0
1507523435.579041,80,82538.0
1507523473.9439127,82,85278.0
1507523491.161313,83,86506.0
1507523510.7826989,84,87909.0
1507523535.4554787,85,89666.0
1507523553.4968643,86,90939.0
1507523574.7691865,87,92460.0
1507523595.5468476,88,93939.0
1507523615.3838792,89,95353.0
1507523636.1691597,90,96841.0
1507523675.8797312,92,99675.0
1507523701.2563117,93,101412.0
1507523737.5739083,95,103997.0
1507523755.8930695,96,105303.0
1507523789.0356069,97,107658.0
1507523812.8566773,98,109353.0
1507523831.5108478,99,110689.0
1507523851.7386267,100,112118.0
1507523866.7357483,101,113189.0
1507523883.5197055,102,114384.0
1507523902.699086,103,115751.0
1507523921.9629805,104,117100.0
1507523943.935529,105,118661.0
1507523968.4660757,106,120400.0
1507523990.9407158,107,121984.0
1507524011.4010086,108,123440.0
1507524059.6826704,110,126869.0
1507524085.1752572,111,128680.0
1507524106.083642,112,130146.0
1507524125.706804,113,131531.0
1507524144.847743,114,132880.0
1507524168.1652439,115,134524.0
1507524190.9564424,116,136127.0
1507524213.8195636,117,137738.0
1507524236.0937603,118,139309.0
1507524261.9896939,119,141135.0
1507524281.7479894,120,142530.0
1507524302.8590374,121,144017.0
