Wall time,Step,Value
1507217447.5304427,17,-21.0
1507217462.371196,18,-20.0
1507217524.5805018,22,-20.0
1507217540.9331198,23,-19.0
1507217587.303233,26,-21.0
1507217602.544831,27,-21.0
1507217654.2927134,30,-19.0
1507217672.542478,31,-20.0
1507217687.9902596,32,-20.0
1507217738.000627,36,-21.0
1507217864.1416905,45,-19.0
1507217907.5743916,48,-21.0
1507217973.8005226,52,-20.0
1507218005.313186,54,-20.0
1507218036.1107423,56,-20.0
1507218051.08136,57,-20.0
1507218084.1571143,59,-21.0
1507218116.3986049,61,-20.0
1507218181.0406656,65,-19.0
1507218196.8774948,66,-20.0
1507218214.880538,67,-19.0
1507218230.5054605,68,-21.0
1507218244.1281178,69,-21.0
1507218338.8015141,75,-20.0
1507218370.1566517,77,-20.0
1507218385.5450137,78,-21.0
1507218404.761824,79,-19.0
1507218422.1937652,80,-20.0
1507218468.466897,83,-21.0
1507218482.7024868,84,-21.0
1507218496.328084,85,-21.0
1507218511.8947835,86,-21.0
1507218599.750822,91,-20.0
1507218676.067772,96,-21.0
1507218724.2942865,99,-21.0
1507218740.3742678,100,-20.0
1507218834.0669205,106,-20.0
1507218965.9197092,114,-20.0
1507219010.9015276,117,-21.0
1507219023.6815076,118,-21.0
1507219117.7631726,125,-21.0
1507219166.498576,128,-19.0
1507219194.301268,130,-21.0
1507219297.428541,137,-21.0
1507219313.6683178,138,-21.0
1507219360.7439406,141,-21.0
1507219375.8240077,142,-21.0
1507219484.4788077,149,-19.0
1507219516.8337572,151,-20.0
1507219550.2505486,153,-19.0
1507219568.7482712,154,-19.0
1507219585.2725286,155,-21.0
1507219695.2887,162,-21.0
1507219771.4873304,167,-21.0
1507219799.2849987,169,-21.0
1507219816.2706685,170,-20.0
1507219829.1950645,171,-21.0
1507219874.9865332,174,-21.0
1507219920.4051,177,-21.0
1507219953.6274183,179,-21.0
1507219968.2827399,180,-21.0
1507220016.000135,183,-21.0
1507220096.420172,189,-20.0
