Wall time,Step,Value
1507354419.1065145,12,-21.0
1507354432.6334796,13,-21.0
1507354465.0585601,15,-20.0
1507354482.381178,16,-19.0
1507354499.7798972,17,-21.0
1507354514.7793121,18,-21.0
1507354529.4696403,19,-21.0
1507354546.8211908,20,-20.0
1507354559.754945,21,-21.0
1507354572.5303404,22,-21.0
1507354585.5304024,23,-20.0
1507354600.6571922,24,-21.0
1507354614.8421595,25,-21.0
1507354626.9017062,26,-21.0
1507354640.127277,27,-21.0
1507354653.919576,28,-20.0
1507354671.2920766,29,-19.0
1507354688.777189,30,-19.0
1507354704.6226666,31,-21.0
1507354724.354036,32,-18.0
1507354739.2755513,33,-21.0
1507354754.6763566,34,-21.0
1507354770.9201875,35,-21.0
1507354788.8104675,36,-21.0
1507354813.3374927,37,-18.0
1507354829.0875075,38,-21.0
1507354846.7380304,39,-21.0
1507354882.9297621,41,-20.0
1507354898.6395092,42,-21.0
1507354915.9789388,43,-21.0
1507354934.264148,44,-19.0
1507354951.7240417,45,-19.0
1507354968.1244013,46,-20.0
1507354985.1126823,47,-20.0
1507355001.9127455,48,-19.0
1507355020.34783,49,-20.0
1507355035.7595112,50,-21.0
1507355050.1790752,51,-21.0
1507355067.7972558,52,-19.0
1507355102.2338958,54,-21.0
1507355116.9091752,55,-21.0
1507355132.857305,56,-20.0
1507355150.2613454,57,-19.0
1507355165.7465372,58,-20.0
1507355181.780673,59,-20.0
1507355201.1311784,60,-20.0
1507355225.320408,61,-17.0
1507355242.890624,62,-20.0
1507355263.340735,63,-19.0
1507355283.2808447,64,-20.0
1507355301.7716906,65,-19.0
1507355322.3728056,66,-20.0
1507355342.7789688,67,-19.0
1507355367.2152214,68,-18.0
1507355389.457993,69,-17.0
1507355406.1918669,70,-20.0
1507355422.4367464,71,-21.0
1507355443.2816668,72,-21.0
1507355465.8461092,73,-17.0
1507355484.553082,74,-20.0
1507355500.3011181,75,-20.0
1507355516.2789254,76,-20.0
1507355533.531327,77,-21.0
1507355552.363318,78,-21.0
1507355571.8745549,79,-19.0
1507355591.113302,80,-19.0
1507355608.718131,81,-19.0
1507355628.8889768,82,-20.0
1507355650.1824195,83,-20.0
1507355665.486536,84,-21.0
1507355689.5439174,85,-20.0
1507355709.7082398,86,-21.0
1507355730.5647743,87,-18.0
1507355754.5267396,88,-19.0
1507355769.652837,89,-21.0
1507355786.6010733,90,-20.0
1507355807.5448797,91,-20.0
1507355825.0409884,92,-20.0
1507355839.96837,93,-21.0
1507355858.1163852,94,-20.0
1507355880.2075925,95,-16.0
1507355898.8700047,96,-16.0
1507355918.012037,97,-20.0
1507355940.7542517,98,-20.0
1507355964.3878956,99,-17.0
1507355991.7519865,100,-18.0
1507356014.3576157,101,-18.0
1507356032.5283,102,-21.0
1507356051.2574813,103,-20.0
1507356072.723794,104,-20.0
1507356092.2601764,105,-20.0
1507356113.5492468,106,-19.0
1507356133.2934833,107,-19.0
1507356162.170197,108,-19.0
1507356181.0052078,109,-21.0
1507356204.332172,110,-19.0
1507356223.8411272,111,-20.0
1507356249.5259538,112,-16.0
1507356270.7176533,113,-19.0
1507356292.0171034,114,-19.0
1507356315.573811,115,-18.0
1507356338.5237012,116,-19.0
1507356358.3055527,117,-20.0
1507356384.3306215,118,-17.0
1507356408.7757218,119,-18.0
1507356431.4480748,120,-19.0
1507356453.128492,121,-19.0
1507356480.6663108,122,-20.0
1507356506.4576926,123,-19.0
1507356526.5362213,124,-19.0
1507356551.5562584,125,-17.0
1507356574.754865,126,-18.0
1507356596.623556,127,-21.0
1507356619.911147,128,-19.0
1507356640.5016277,129,-18.0
1507356667.9190133,130,-14.0
1507356694.6285346,131,-17.0
1507356716.094888,132,-20.0
1507356736.8780055,133,-19.0
1507356758.5654404,134,-19.0
1507356779.4963803,135,-18.0
1507356797.418003,136,-20.0
1507356824.8697188,137,-15.0
1507356852.0128443,138,-17.0
1507356874.9057553,139,-17.0
1507356919.8397799,141,-20.0
1507356945.769668,142,-16.0
1507356969.34732,143,-19.0
1507357008.268337,144,-16.0
1507357037.758241,145,-19.0
1507357060.8049057,146,-20.0
1507357095.4203763,147,-17.0
1507357122.6254978,148,-17.0
1507357144.4018972,149,-18.0
1507357175.579276,150,-18.0
1507357203.7424915,151,-17.0
1507357235.1997614,152,-17.0
1507357268.2237265,153,-19.0
1507357301.6414468,154,-17.0
1507357335.0489666,155,-16.0
1507357380.2957177,156,-11.0
1507357414.9776676,157,-16.0
1507357436.2471685,158,-19.0
1507357469.0689063,159,-12.0
1507357489.8006604,160,-19.0
1507357515.7365897,161,-16.0
1507357541.829135,162,-19.0
1507357566.7183058,163,-17.0
1507357627.2744267,165,-16.0
1507357654.8340597,166,-20.0
1507357681.159139,167,-17.0
1507357710.5351381,168,-15.0
1507357742.7595623,169,-16.0
1507357783.0970635,170,-12.0
1507357815.9748518,171,-14.0
1507357847.1010833,172,-15.0
1507357886.6589594,173,-14.0
1507357934.7653224,174,-5.0
1507357969.3515532,175,-16.0
1507358012.1509254,176,-13.0
1507358046.994262,177,-17.0
1507358096.6531677,178,-7.0
1507358123.7322302,179,-18.0
1507358158.6659513,180,-16.0
1507358202.8387969,181,-13.0
1507358241.145151,182,-12.0
1507358279.0268607,183,-17.0
1507358312.949422,184,-17.0
1507358360.7965157,185,-14.0
1507358393.3579342,186,-13.0
1507358421.9973812,187,-18.0
1507358443.664659,188,-19.0
1507358488.191863,189,-10.0
1507358529.612433,190,-9.0
1507358573.4913754,191,-10.0
1507358608.8324773,192,-14.0
1507358649.3577995,193,-11.0
1507358696.729468,194,-6.0
1507358733.1422853,195,-11.0
1507358783.2361133,196,1.0
1507358812.5121315,197,-17.0
1507358846.9781938,198,-17.0
1507358885.9729125,199,-9.0
1507358941.8847504,200,-5.0
1507358977.9921541,201,-9.0
1507359014.8563519,202,-11.0
1507359062.0914922,203,-4.0
1507359097.6574895,204,-11.0
1507359141.0252905,205,-6.0
1507359167.928182,206,-18.0
1507359274.5222776,209,-17.0
1507359304.9994075,210,-16.0
1507359344.1402228,211,-9.0
1507359377.392827,212,-14.0
1507359404.2242727,213,-17.0
1507359444.4092786,214,-10.0
1507359494.23722,215,-4.0
1507359580.016677,217,-10.0
1507359620.2217102,218,-13.0
1507359648.0994825,219,-18.0
1507359698.174441,220,-4.0
1507359733.780936,221,-14.0
1507359836.263718,223,-11.0
1507359882.5609782,224,-12.0
1507359930.1618426,225,-6.0
1507359979.546228,226,-10.0
1507360020.1833656,227,-12.0
1507360045.7060902,228,-16.0
1507360086.9581368,229,-5.0
1507360132.2414575,230,-8.0
1507360158.2915573,231,-16.0
1507360181.066658,232,-17.0
1507360202.417279,233,-21.0
1507360247.228519,234,4.0
1507360283.6327162,235,-11.0
1507360370.4173684,237,-11.0
1507360407.4743705,238,-18.0
1507360448.0240247,239,-13.0
1507360487.2667823,240,-10.0
1507360525.2091904,241,-14.0
1507360557.0849752,242,-13.0
1507360597.455081,243,-11.0
1507360633.9841454,244,-10.0
1507360667.063361,245,-14.0
1507360706.4488816,246,-13.0
1507360751.8206077,247,-8.0
1507360798.4747567,248,4.0
1507360851.8950572,249,-8.0
1507360912.7541385,250,-1.0
1507360968.8078165,251,-6.0
1507361024.5573354,252,3.0
1507361089.2969406,253,-3.0
1507361134.9641304,254,-5.0
1507361188.8036494,255,-3.0
1507361239.0516145,256,2.0
1507361278.8576956,257,-10.0
1507361314.268095,258,-9.0
1507361366.41406,259,7.0
1507361408.1053734,260,-5.0
1507361451.4285922,261,12.0
1507361489.5692177,262,15.0
1507361538.62875,263,-3.0
1507361590.014573,264,-4.0
1507361626.4655132,265,-9.0
1507361676.8616176,266,6.0
1507361713.1805212,267,16.0
1507361770.781536,268,1.0
1507361818.8272421,269,4.0
1507361875.5200987,270,-4.0
1507361918.3024151,271,12.0
1507361960.8916576,272,8.0
1507362000.9229312,273,14.0
1507362039.226549,274,15.0
1507362086.0737085,275,11.0
1507362131.3691866,276,13.0
1507362180.5873094,277,9.0
1507362257.8546607,279,15.0
1507362296.749809,280,16.0
1507362335.015746,281,12.0
1507362393.475687,282,-1.0
1507362432.7646925,283,12.0
1507362480.6713545,284,7.0
1507362527.330454,285,8.0
1507362562.9439564,286,14.0
1507362597.3860216,287,17.0
1507362628.7053137,288,20.0
1507362668.7435849,289,14.0
1507362707.307813,290,15.0
1507362737.3973126,291,20.0
1507362774.701009,292,12.0
1507362814.499737,293,10.0
1507362852.8896906,294,13.0
1507362884.728586,295,19.0
1507362919.1389976,296,18.0
1507362951.3800862,297,20.0
1507362987.43862,298,17.0
1507363026.4271584,299,11.0
1507363100.6813872,301,19.0
1507363168.86543,303,12.0
1507363203.2720573,304,17.0
1507363233.9399421,305,20.0
1507363269.3954852,306,14.0
1507363311.847264,307,7.0
1507363359.654611,308,5.0
1507363391.509313,309,19.0
1507363431.5458775,310,13.0
1507363474.2720037,311,12.0
1507363515.1021166,312,7.0
1507363552.2011936,313,10.0
1507363588.2417898,314,13.0
1507363630.7841182,315,10.0
1507363659.947584,316,21.0
1507363701.5114436,317,10.0
1507363776.8719127,319,15.0
1507363813.2958226,320,15.0
1507363849.4847074,321,17.0
1507363881.6848552,322,20.0
1507363910.6031528,323,20.0
1507363980.0177436,325,18.0
1507364021.172742,326,10.0
1507364054.6978683,327,18.0
1507364092.4319196,328,13.0
1507364124.4135542,329,19.0
1507364154.275181,330,20.0
