Wall time,Step,Value
1507472597.915708,11,-19.0
1507472614.7808418,12,-21.0
1507472628.2499256,13,-20.0
1507472640.6108878,14,-21.0
1507472655.6644573,15,-21.0
1507472673.5209267,16,-19.0
1507472687.846336,17,-20.0
1507472703.3437705,18,-20.0
1507472718.9540594,19,-20.0
1507472734.1315746,20,-19.0
1507472746.4249964,21,-21.0
1507472764.5252147,22,-21.0
1507472778.1619136,23,-21.0
1507472791.1544716,24,-21.0
1507472805.6988122,25,-20.0
1507472820.836164,26,-20.0
1507472835.937059,27,-20.0
1507472849.2301114,28,-21.0
1507472863.1063602,29,-21.0
1507472876.5608134,30,-20.0
1507472892.8678963,31,-20.0
1507472911.1745348,32,-19.0
1507472926.320988,33,-20.0
1507472940.517025,34,-21.0
1507472957.6915033,35,-19.0
1507472974.8967216,36,-20.0
1507472991.840912,37,-18.0
1507473007.2160802,38,-21.0
1507473021.1087458,39,-21.0
1507473036.667274,40,-20.0
1507473051.9284985,41,-20.0
1507473067.7303638,42,-20.0
1507473084.126742,43,-20.0
1507473099.486004,44,-21.0
1507473113.7814226,45,-21.0
1507473128.4659543,46,-20.0
1507473143.2779791,47,-21.0
1507473156.9527671,48,-21.0
1507473170.2016337,49,-21.0
1507473184.9958727,50,-21.0
1507473201.8554966,51,-20.0
1507473237.0624993,53,-21.0
1507473249.3927312,54,-21.0
1507473265.6322627,55,-19.0
1507473280.0669007,56,-21.0
1507473299.7015364,57,-19.0
1507473318.4967752,58,-20.0
1507473338.9828744,59,-18.0
1507473355.077005,60,-20.0
1507473370.4784946,61,-21.0
1507473388.3024752,62,-19.0
1507473406.772039,63,-20.0
1507473420.33399,64,-21.0
1507473438.10435,65,-21.0
1507473455.5323925,66,-20.0
1507473475.6342146,67,-19.0
1507473497.4547615,68,-20.0
1507473519.9126236,69,-19.0
1507473542.0851698,70,-19.0
1507473560.7283309,71,-20.0
1507473580.8625712,72,-19.0
1507473598.3572755,73,-20.0
1507473614.500275,74,-21.0
1507473630.8392415,75,-21.0
1507473649.533387,76,-20.0
1507473669.2812846,77,-19.0
1507473687.318763,78,-21.0
1507473708.0310981,79,-21.0
1507473731.241446,80,-18.0
1507473750.917984,81,-19.0
1507473775.2021644,82,-20.0
1507473794.2095854,83,-21.0
1507473811.7810974,84,-21.0
1507473834.1360981,85,-19.0
1507473861.2203493,86,-16.0
1507473878.9880753,87,-19.0
1507473899.120298,88,-21.0
1507473917.5148406,89,-20.0
1507473939.2328002,90,-20.0
1507473967.8392336,91,-21.0
1507473994.1561146,92,-19.0
1507474017.7063365,93,-19.0
1507474039.3101754,94,-20.0
1507474067.2501383,95,-16.0
1507474088.9013546,96,-19.0
1507474112.4339726,97,-20.0
1507474132.4801636,98,-20.0
1507474158.3412094,99,-17.0
1507474182.921418,100,-18.0
1507474212.6276467,101,-17.0
1507474238.9915452,102,-18.0
1507474261.8913474,103,-18.0
1507474284.22338,104,-20.0
1507474312.5162392,105,-15.0
1507474343.679112,106,-15.0
1507474374.660509,107,-15.0
1507474409.0576284,108,-18.0
1507474431.6803603,109,-18.0
1507474461.4278145,110,-17.0
1507474492.665189,111,-16.0
1507474514.2217264,112,-20.0
1507474543.3973134,113,-16.0
1507474569.5960598,114,-18.0
1507474594.2345283,115,-16.0
1507474615.0740492,116,-18.0
1507474653.2011838,117,-16.0
1507474678.917788,118,-19.0
1507474705.2496376,119,-18.0
1507474742.9115613,120,-17.0
1507474772.79636,121,-16.0
1507474802.9045877,122,-18.0
1507474830.2827122,123,-20.0
1507474868.4201744,124,-16.0
1507474897.3061144,125,-17.0
1507474931.0997224,126,-17.0
1507474961.520965,127,-18.0
1507475003.8454826,128,-16.0
1507475040.029979,129,-17.0
1507475072.5867321,130,-17.0
1507475104.0774665,131,-19.0
1507475136.3446894,132,-14.0
1507475165.653012,133,-20.0
1507475202.850525,134,-17.0
1507475230.8644636,135,-20.0
1507475256.4246051,136,-17.0
1507475296.2237716,137,-14.0
1507475336.6231031,138,-12.0
1507475371.5435674,139,-15.0
1507475409.5273058,140,-13.0
1507475445.6905751,141,-12.0
1507475474.8115387,142,-16.0
1507475496.5009675,143,-21.0
1507475528.501274,144,-18.0
1507475560.2805078,145,-16.0
1507475603.203298,146,-15.0
1507475641.9202938,147,-10.0
1507475684.2176251,148,-10.0
1507475723.1054876,149,-12.0
1507475761.2294612,150,-14.0
1507475805.419962,151,-6.0
1507475845.422031,152,-10.0
1507475882.2188053,153,-13.0
1507475941.3849342,154,-5.0
1507475985.3607445,155,-8.0
1507476025.2308807,156,-9.0
1507476083.783556,157,3.0
1507476134.8802981,158,-6.0
1507476196.3743744,159,1.0
1507476255.107284,160,-3.0
1507476306.39917,161,-4.0
1507476361.6328926,162,-4.0
1507476477.4849024,164,-2.0
1507476540.5323756,165,-2.0
1507476589.1016643,166,-5.0
1507476642.3382723,167,-6.0
1507476702.1956306,168,-3.0
1507476765.0002687,169,-1.0
1507476821.7215598,170,3.0
1507476873.2999263,171,-6.0
1507476934.0037837,172,3.0
1507476999.7615888,173,1.0
1507477064.8682177,174,1.0
1507477126.5902672,175,-5.0
1507477187.0323966,176,-4.0
1507477260.9513266,177,-1.0
1507477342.3805208,178,-1.0
1507477406.625703,179,8.0
1507477472.4335704,180,8.0
1507477535.1026404,181,-1.0
1507477593.6133528,182,9.0
1507477632.1803248,183,20.0
1507477679.367177,184,10.0
1507477741.8267624,185,6.0
1507477801.872564,186,8.0
1507477852.522334,187,9.0
1507477890.79723,188,18.0
1507477935.7094302,189,10.0
1507477996.2585032,190,9.0
1507478050.5967371,191,6.0
1507478087.9373214,192,19.0
1507478133.2821834,193,16.0
1507478198.0084555,194,6.0
1507478246.843521,195,15.0
1507478309.204106,196,3.0
1507478359.245853,197,8.0
1507478430.2816117,198,8.0
1507478484.8073244,199,11.0
1507478529.3035028,200,14.0
1507478570.0825682,201,15.0
1507478608.430176,202,20.0
1507478649.466437,203,16.0
1507478703.893043,204,1.0
1507478739.5690756,205,20.0
1507478829.5420668,207,17.0
1507478880.4138267,208,8.0
1507478933.826079,209,13.0
1507478974.4558153,210,17.0
1507479031.471334,211,7.0
1507479075.5208745,212,13.0
1507479118.3523653,213,17.0
1507479163.0407836,214,14.0
1507479239.722654,216,17.0
1507479291.0538423,217,9.0
1507479329.5755506,218,20.0
1507479371.3154519,219,18.0
1507479426.4122298,220,12.0
1507479511.5541046,222,-10.0
1507479571.251215,223,3.0
1507479612.9024854,224,15.0
1507479672.7170844,225,8.0
1507479713.0553389,226,19.0
1507479748.6416059,227,21.0
1507479784.603003,228,20.0
1507479827.334756,229,13.0
1507479887.5032306,230,8.0
1507479950.2678287,231,10.0
1507479988.6875322,232,20.0
1507480025.9616053,233,19.0
1507480079.1892352,234,4.0
1507480190.8075905,236,2.0
1507480244.5400233,237,7.0
1507480288.1118786,238,16.0
1507480334.6157923,239,18.0
1507480375.0314393,240,15.0
1507480420.5744672,241,15.0
1507480472.3636231,242,13.0
1507480517.2303936,243,18.0
1507480559.2949407,244,15.0
1507480613.578513,245,7.0
1507480652.5485885,246,18.0
1507480689.8002546,247,18.0
1507480737.22743,248,14.0
1507480787.7617705,249,12.0
1507480822.6859584,250,21.0
1507480858.6501038,251,20.0
1507480908.845427,252,12.0
1507480945.7171364,253,19.0
1507480983.7949893,254,20.0
1507481039.3475716,255,7.0
1507481085.5951586,256,20.0
1507481139.8687508,257,13.0
1507481194.4053676,258,10.0
1507481243.0547466,259,14.0
1507481293.1513789,260,4.0
1507481353.4546127,261,4.0
1507481411.8614745,262,13.0
1507481460.46551,263,19.0
1507481514.4600654,264,7.0
1507481550.168408,265,-12.0
1507481602.4310157,266,16.0
1507481657.4057374,267,5.0
1507481703.68646,268,15.0
1507481741.3717382,269,19.0
1507481780.2089553,270,18.0
1507481825.9818575,271,19.0
1507481861.8091226,272,20.0
1507481897.4920206,273,20.0
1507481934.9283218,274,17.0
1507481978.1863859,275,15.0
1507482015.903889,276,18.0
1507482104.7294493,278,19.0
1507482148.9960785,279,16.0
1507482191.2225091,280,15.0
1507482238.456561,281,15.0
1507482277.3322656,282,16.0
1507482313.5305939,283,20.0
1507482353.0273151,284,17.0
1507482395.4846804,285,17.0
1507482430.6475356,286,20.0
1507482470.0466368,287,16.0
1507482521.3576212,288,9.0
1507482565.8363535,289,14.0
1507482601.2555747,290,21.0
1507482637.4257832,291,21.0
1507482674.8834257,292,20.0
1507482711.3593602,293,20.0
1507482747.312015,294,20.0
1507482788.3235464,295,13.0
1507482829.41785,296,15.0
1507482872.906144,297,20.0
1507482916.103506,298,15.0
1507482998.6702313,300,16.0
1507483073.4238222,302,20.0
1507483116.1653862,303,18.0
1507483153.2870028,304,21.0
1507483192.9596143,305,18.0
1507483238.7705731,306,12.0
1507483278.2430887,307,18.0
1507483316.0360606,308,18.0
1507483352.094478,309,21.0
1507483389.3750057,310,18.0
1507483437.2716131,311,15.0
1507483478.1620986,312,17.0
1507483513.756819,313,20.0
1507483552.331036,314,20.0
1507483587.9006886,315,21.0
1507483624.1992817,316,20.0
1507483713.44756,318,9.0
1507483750.8440917,319,19.0
1507483787.1784587,320,21.0
1507483825.9428363,321,19.0
1507483861.294282,322,21.0
1507483960.2377267,324,-3.0
1507484006.0859804,325,12.0
1507484045.2717993,326,19.0
1507484082.4651437,327,19.0
1507484123.2635536,328,16.0
1507484169.4624574,329,15.0
1507484204.9881973,330,21.0
1507484254.5239315,331,13.0
1507484305.6986663,332,10.0
1507484358.7726805,333,7.0
1507484410.544045,334,14.0
1507484457.7073157,335,9.0
1507484500.8761928,336,16.0
1507484556.9468515,337,6.0
1507484601.832866,338,17.0
1507484635.9844112,339,21.0
1507484693.439083,340,10.0
1507484732.7306826,341,19.0
1507484781.2691112,342,10.0
1507484819.386085,343,13.0
1507484853.991124,344,19.0
1507484897.9696271,345,18.0
1507484942.723355,346,14.0
1507484978.5376093,347,17.0
1507485033.0393124,348,5.0
1507485072.3335578,349,17.0
1507485109.3349907,350,18.0
1507485149.1702392,351,20.0
1507485184.3309958,352,21.0
1507485230.5175223,353,14.0
1507485274.8761122,354,9.0
1507485320.8118012,355,14.0
1507485361.4592235,356,13.0
1507485402.9231958,357,11.0
1507485441.5069978,358,14.0
1507485479.0073316,359,14.0
1507485507.754085,360,20.0
1507485543.5818934,361,19.0
1507485579.981188,362,17.0
1507485627.5961795,363,11.0
1507485675.686844,364,15.0
1507485704.6997457,365,19.0
1507485740.0612042,366,18.0
1507485773.907529,367,16.0
1507485814.7318072,368,14.0
1507485845.6809409,369,18.0
1507485886.4947302,370,14.0
1507485925.750152,371,14.0
1507485958.9778228,372,17.0
1507486008.6786568,373,10.0
1507486052.6366625,374,6.0
1507486087.508131,375,18.0
1507486129.9892154,376,12.0
1507486172.4491994,377,12.0
1507486206.817574,378,19.0
1507486237.5678184,379,20.0
1507486313.2116692,381,21.0
1507486362.8392615,382,10.0
1507486399.5693908,383,17.0
1507486434.1110368,384,17.0
1507486473.108265,385,18.0
1507486501.4924333,386,20.0
1507486539.8940609,387,20.0
1507486583.3123856,388,16.0
1507486610.8257825,389,20.0
1507486647.086221,390,18.0
